,genes
0,TSPAN6
1,TNMD
2,DPM1
3,SCYL3
4,C1orf112
5,FGR
6,CFH
7,FUCA2
8,GCLC
9,NFYA
10,STPG1
11,NIPAL3
12,LAS1L
13,ENPP4
14,SEMA3F
15,CFTR
16,ANKIB1
17,CYP51A1
18,KRIT1
19,RAD52
20,BAD
21,LAP3
22,CD99
23,HS3ST1
24,AOC1
25,WNT16
26,HECW1
27,MAD1L1
28,LASP1
29,SNX11
30,TMEM176A
31,M6PR
32,KLHL13
33,CYP26B1
34,ICA1
35,DBNDD1
36,ALS2
37,CASP10
38,CFLAR
39,TFPI
40,NDUFAF7
41,RBM5
42,MTMR7
43,SLC7A2
44,ARF5
45,SARM1
46,POLDIP2
47,PLXND1
48,AK2
49,CD38
50,FKBP4
51,KDM1A
52,RBM6
53,CAMKK1
54,RECQL
55,VPS50
56,HSPB6
57,ARHGAP33
58,NDUFAB1
59,PDK4
60,SLC22A16
61,ZMYND10
62,ABCB5
63,ARX
64,SLC25A13
65,ST7
66,CDC27
67,SLC4A1
68,CALCR
69,HCCS
70,DVL2
71,PRSS22
72,UPF1
73,SKAP2
74,SLC25A5
75,MCUB
76,HOXA11
77,DHX33
78,MEOX1
79,THSD7A
80,LIG3
81,RPAP3
82,ACSM3
83,REXO5
84,CIAPIN1
85,SPPL2B
86,FAM214B
87,COPZ2
88,PRKAR2B
89,MSL3
90,CREBBP
91,TSPOAP1
92,MPO
93,PON1
94,GCFC2
95,WDR54
96,CROT
97,ABCB4
98,KMT2E
99,RHBDD2
100,SOX8
101,IBTK
102,ZNF195
103,MYCBP2
104,FBXL3
105,ITGAL
106,PDK2
107,ITGA3
108,ZFX
109,LAMP2
110,ITGA2B
111,ASB4
112,GDE1
113,REX1BD
114,CRLF1
115,OSBPL7
116,TMEM98
117,YBX2
118,KRT33A
119,MAP3K14
120,ABCC8
121,CACNG3
122,TMEM132A
123,AP2B1
124,TAC1
125,ZNF263
126,CX3CL1
127,SPATA20
128,CACNA1G
129,TNFRSF12A
130,DLX6
131,MAP3K9
132,RALA
133,BAIAP2L1
134,KDM7A
135,ETV1
136,AGK
137,ALDH3B1
138,TTC22
139,PHTF2
140,CCL26
141,FARP2
142,USH1C
143,GGCT
144,DBF4
145,TBXA2R
146,IFRD1
147,LGALS14
148,COX10
149,GTF2IRD1
150,PAF1
151,VPS41
152,ARHGAP44
153,ELAC2
154,SCIN
155,ARSD
156,PNPLA4
157,MYH13
158,ADIPOR2
159,CDKL3
160,UPP2
161,PRSS21
162,MARK4
163,PROM1
164,CCDC124
165,CEACAM21
166,PAFAH1B1
167,NOS2
168,DNAH9
169,KIAA0100
170,SLC13A2
171,GAS7
172,TRAPPC6A
173,MATK
174,CEACAM7
175,CD79B
176,SCN4A
177,ST7L
178,TKTL1
179,PAX6
180,RPUSD1
181,RHBDF1
182,LUC7L
183,CACNA2D2
184,BAIAP3
185,TSR3
186,PIGQ
187,CRAMP1
188,TEAD3
189,SELE
190,DNAJC11
191,FMO3
192,MYLIP
193,NOX1
194,E2F2
195,PSMB1
196,SYN1
197,JARID2
198,CDKL5
199,CAMK1G
200,CDK11A
201,NADK
202,TFAP2B
203,TFAP2D
204,DLEC1
205,CYTH3
206,ADAM22
207,SYPL1
208,CYB561
209,SPAG9
210,CELSR3
211,AASS
212,PLEKHG6
213,SS18L2
214,MPND
215,MGST1
216,CRY1
217,PGLYRP1
218,NFIX
219,ST3GAL1
220,MMP25
221,IL32
222,PKD1
223,MAPK8IP2
224,MED24
225,RHOBTB2
226,HEATR5B
227,SEC62
228,RPS20
229,CSDE1
230,UBE3C
231,REV3L
232,TENM1
233,PAX7
234,MASP2
235,IYD
236,FAM76A
237,TRAF3IP3
238,POMT2
239,VTA1
240,MLXIPL
241,BAZ1B
242,RANBP9
243,ETV7
244,SPRTN
245,DYRK4
246,ZNF207
247,UQCRC1
248,STARD3NL
249,CD9
250,HHATL
251,NCAPD2
252,IFFO1
253,GIPR
254,PHF7
255,SEMA3G
256,NISCH
257,STAB1
258,FUZ
259,SLC6A13
260,IDS
261,PRSS3
262,ZNF200
263,CD4
264,LRRC23
265,BTK
266,HFE
267,SCMH1
268,FYN
269,HIVEP2
270,FMO1
271,ELOA
272,LYPLA2
273,CLCN6
274,MRC2
275,SLC6A7
276,TSPAN9
277,BTBD7
278,APBA3
279,MKS1
280,ABHD5
281,ANOS1
282,AKAP8L
283,MBTD1
284,UTP18
285,RNF216
286,TTC19
287,PTBP1
288,DPF1
289,SYT7
290,LARS2
291,PIK3C2A
292,PLAUR
293,ANLN
294,WIZ
295,RABGAP1
296,DCN
297,QPCTL
298,PPP5C
299,CEP68
300,MAP4K3
301,ZBTB32
302,TYROBP
303,TMEM159
304,GABRA3
305,BRCA1
306,ERCC1
307,CD22
308,SEMA3B
309,MBTPS2
310,PRICKLE3
311,LTF
312,EXTL3
313,NR1H4
314,ELOVL5
315,ALOX5
316,KDM5D
317,CALCOCO1
318,UBR7
319,MAP4K5
320,EHD3
321,PSMC4
322,MAN2B2
323,SLC7A14
324,CLDN11
325,SLC25A39
326,MVP
327,NUB1
328,PGM3
329,RWDD2A
330,CLK1
331,POLR3B
332,ANGEL1
333,RNF14
334,DNASE1L1
335,DDX11
336,HEBP1
337,GPRC5A
338,MAMLD1
339,CD6
340,TACC3
341,UFL1
342,POLA2
343,ZC3H3
344,CAPN1
345,MDH1
346,SLC30A9
347,MTMR11
348,COX15
349,CCDC88C
350,YAF2
351,ZMYND11
352,WAS
353,DPEP1
354,BID
355,MATR3
356,NPC1L1
357,XYLT2
358,STMN4
359,NUDCD3
360,ISL1
361,CHDH
362,IL20RA
363,CLCA1
364,CLCA4
365,GLT8D1
366,ATP2C1
367,IGF1
368,SLC38A5
369,RALBP1
370,RUFY3
371,CNTN1
372,SLC11A1
373,WWTR1
374,AGPS
375,CXorf56
376,ATP1A2
377,TTC27
378,ZNF582
379,VSIG2
380,PHLDB1
381,MARCO
382,CYP24A1
383,PRDM11
384,SYT13
385,SNAI2
386,CD74
387,HGF
388,ZRANB1
389,NCDN
390,ADGRA2
391,ZFP64
392,MNAT1
393,SAMD4A
394,RUNX3
395,MRE11
396,PLEKHB1
397,SERPINB1
398,CYP3A43
399,SLC7A9
400,SPAST
401,NRXN3
402,OSBPL5
403,AQR
404,CPS1
405,C8B
406,FHL1
407,GABRA1
408,NLRP2
409,SLC45A4
410,RNF10
411,ZNF839
412,ZDHHC6
413,GRAMD1B
414,RNH1
415,NDUFS1
416,RB1CC1
417,ERP44
418,ALAS1
419,BIRC3
420,AKAP11
421,GLRX2
422,SNAPC1
423,DERA
424,STRAP
425,ABCC2
426,DEF6
427,PLEKHO1
428,GCLM
429,UBR2
430,EHD2
431,DEPDC1
432,CCDC28A
433,RRAGD
434,HSF2
435,PHF20
436,HSD17B6
437,NR1H3
438,TYMP
439,NCAPH2
440,TOMM34
441,SEC63
442,KPNA6
443,VIM
444,FAS
445,RNASET2
446,CD44
447,KCNG1
448,AGPAT4
449,SLAMF7
450,BTN3A1
451,MIPEP
452,PRKCH
453,INSRR
454,IFNGR1
455,B4GALT7
456,SH2D2A
457,VRK2
458,TNFRSF1B
459,VEZT
460,POU2F2
461,BRD9
462,SNX1
463,TBPL1
464,ARNTL2
465,BCLAF1
466,SLC39A9
467,ANK1
468,IBSP
469,TFB1M
470,RABEP1
471,HMGB3
472,NUP160
473,BAK1
474,MUSK
475,IKZF2
476,GRN
477,FAM13B
478,ARHGAP31
479,CENPQ
480,RANBP3
481,ARID4A
482,EIPR1
483,PNPLA6
484,IFT88
485,ALG1
486,ZCCHC8
487,ABCF2
488,CHPF2
489,LRRC7
490,FUT8
491,UBA6
492,GAB2
493,ATP6V0A1
494,PIAS1
495,SLC4A7
496,APBA2
497,MAP2K3
498,EFCAB1
499,TMSB10
500,ASTE1
501,RNF19A
502,PEX3
503,GABARAPL2
504,MYOC
505,SH3YL1
506,FAM136A
507,VCL
508,DEPDC1B
509,DAPK2
510,NSMAF
511,STAP1
512,TIMP2
513,RFC1
514,TBC1D23
515,CUL3
516,MYOM2
517,OTC
518,CYP46A1
519,ZZZ3
520,SLC18A1
521,USP2
522,CASR
523,TUBG2
524,RPL26L1
525,FLT4
526,NSUN2
527,FBXO42
528,MFAP3
529,MRI1
530,METTL1
531,HOXC8
532,AGA
533,PI4K2B
534,BOD1L1
535,MAT2B
536,TLL1
537,EDC4
538,TRIO
539,VCAN
540,CLEC16A
541,MSR1
542,CDH1
543,MTREX
544,DNAH5
545,ZFYVE16
546,RIPOR1
547,C6
548,RAI14
549,SOX30
550,PNKP
551,BEST2
552,PHLPP2
553,SPDL1
554,STAU2
555,CTNS
556,RTN4R
557,PHF23
558,CDH10
559,INPP4A
560,RAB27B
561,PSMA4
562,MYO16
563,LSG1
564,PARP3
565,TNC
566,THAP3
567,RIPOR3
568,TDP1
569,AIFM2
570,C2orf83
571,SPATA7
572,MED17
573,RETSAT
574,CAPG
575,AP2S1
576,USH2A
577,ZPBP
578,TG
579,ADAM28
580,BARX2
581,DCUN1D1
582,JADE2
583,ZIC2
584,LCP2
585,TRIT1
586,ADRB1
587,GUCA2B
588,CUL7
589,CTNNA1
590,PHKA2
591,CNTLN
592,EPHA3
593,HSPA5
594,DSG2
595,GEMIN8
596,OFD1
597,GPM6B
598,MAGEC2
599,PREX2
600,WDR37
601,YTHDC2
602,CTPS2
603,ATP6V1H
604,POLR2B
605,FAM214A
606,ARAP2
607,TPR
608,CP
609,KIAA0556
610,DTNBP1
611,XK
612,ANO2
613,C12orf4
614,SCML1
615,WWC3
616,ARHGAP6
617,FAM184B
618,MAP4
619,GOPC
620,ROS1
621,USP28
622,HDAC9
623,TSPAN17
624,NOP16
625,CC2D2A
626,RRM2B
627,ZNF800
628,TNFRSF17
629,SNX29
630,LMO3
631,MRPS10
632,GUCA1A
633,RSF1
634,VPS13D
635,CELF2
636,FAM120A
637,R3HDM1
638,COL9A2
639,KITLG
640,ERCC8
641,ADAMTS6
642,H6PD
643,VAMP3
644,PER3
645,UTS2
646,TNFRSF9
647,EPN3
648,LTBP1
649,RCN1
650,ELN
651,RFC2
652,ARID1B
653,CLPTM1L
654,NEDD4L
655,FOXP3
656,PPP1R3F
657,HEXB
658,PTCD2
659,NEXMIF
660,JKAMP
661,DKK3
662,ARHGEF5
663,NFE2L3
664,MCUR1
665,LIMA1
666,LETMD1
667,SLC4A8
668,LAMC3
669,PTGER3
670,TNIP3
671,MAPK9
672,COL23A1
673,BCAR1
674,FAM160A2
675,HERPUD1
676,HOMER3
677,RAD51
678,POLQ
679,PIK3CB
680,CYBA
681,HEBP2
682,MPHOSPH9
683,PLEKHA5
684,PRSS8
685,SIKE1
686,RRP12
687,FNIP2
688,MSMO1
689,TTC17
690,ALX4
691,FSTL4
692,FOXN3
693,METTL24
694,AKR7A2
695,MRTO4
696,NNAT
697,USE1
698,MCF2L2
699,NRIP2
700,LAMA3
701,AP5M1
702,ANAPC4
703,KCNQ1
704,TRAPPC3
705,THRAP3
706,PHPT1
707,ENTPD2
708,LY75
709,ARID4B
710,OPN3
711,SDCCAG8
712,PTPRN
713,HHAT
714,KIF1B
715,FOXC1
716,TBC1D22A
717,SYNE2
718,PLEKHH1
719,ATP9A
720,SPO11
721,CBLN4
722,CHRDL2
723,FAM168A
724,RELT
725,GALC
726,NOP58
727,SZRD1
728,KCNH2
729,CUL1
730,FAM114A2
731,CYFIP2
732,TAB2
733,GINM1
734,EIF2AK2
735,USP36
736,KMT2C
737,MCOLN3
738,CCDC85A
739,PUM2
740,MRPL43
741,ITIH4
742,ITIH1
743,HPF1
744,ZFR
745,ZNF280C
746,NPFFR2
747,PHF21B
748,TRAF1
749,RC3H2
750,IL17RB
751,TRAF3IP2
752,GYG2
753,DCBLD2
754,SERPINB3
755,SOAT1
756,PKP2
757,MSH4
758,F7
759,GDI2
760,PRDM1
761,ATG5
762,TMCC3
763,PITHD1
764,MTA3
765,USP13
766,ATP11B
767,LAMC2
768,CDK14
769,SEC61A1
770,PPP1R12A
771,RASGRF1
772,CAMK2B
773,CROCC
774,POLR3E
775,ATP2B4
776,ZC3H11A
777,RIOK2
778,YIPF1
779,NDC1
780,DGKG
781,FLYWCH1
782,UNKL
783,TBXAS1
784,PARP12
785,ALDH18A1
786,TARBP1
787,GATB
788,MXD1
789,CDK17
790,DNAJC25
791,SLC2A3
792,PSD
793,CTDP1
794,YBX3
795,STYK1
796,WNK1
797,CCAR1
798,OGFR
799,GNA15
800,CREB3L3
801,PIGV
802,PTPRU
803,SNRNP40
804,RIMBP2
805,COL11A1
806,QSER1
807,MPC1
808,ACAA1
809,BCAT1
810,HDAC7
811,LZTS1
812,PRDM6
813,WNT8A
814,SPAG4
815,NCKAP1
816,MRPS35
817,GUCY1B1
818,SFSWAP
819,TNK2
820,MON2
821,CDH3
822,ARSF
823,GPBP1
824,DGAT2
825,ZNF112
826,CS
827,LTK
828,MRPS24
829,ELMO2
830,WAPL
831,VMP1
832,APPBP2
833,POLD1
834,SEZ6
835,EIF4B
836,SLC6A16
837,BICRA
838,SPHK2
839,RPL18
840,CA11
841,ISOC2
842,U2AF2
843,EPN1
844,MED29
845,AHRR
846,GSC2
847,ZNF275
848,MTMR1
849,GPC1
850,ADCK1
851,HAGH
852,RNF4
853,CASP8
854,LIMCH1
855,INTS13
856,TM7SF3
857,DLX3
858,SPA17
859,TSPAN32
860,DMRT3
861,ST3GAL6
862,ATP2C2
863,NGFR
864,CDON
865,TAF2
866,HIPK2
867,TNPO3
868,RFXANK
869,TMEM161A
870,LPAR2
871,CTSA
872,SUGP2
873,SLC12A2
874,SNX24
875,EYA2
876,CNN2
877,ABCA7
878,SNCAIP
879,DDX20
880,BTBD1
881,FAR2
882,BCAS1
883,POU1F1
884,CHI3L2
885,SBNO2
886,PMS1
887,HMG20B
888,CALCRL
889,TAF11
890,ANKS1A
891,AP3D1
892,ZNF76
893,SLC9A3R2
894,NTHL1
895,UHRF1BP1
896,GNAI3
897,IPO5
898,OAT
899,WDR3
900,PKN2
901,WDR18
902,TRAM2
903,NTN1
904,GLP2R
905,MCM10
906,DGKA
907,ERBB3
908,ROPN1
909,ANKRD44
910,ADAT1
911,PDIA5
912,TBC1D22B
913,NDUFB4
914,SPEN
915,MYLK
916,ZC3H15
917,MAP2K4
918,SNAP91
919,SLK
920,CYB5R4
921,COL17A1
922,GSTO2
923,SEC61A2
924,PRKCQ
925,TLE2
926,ASB1
927,FAM107B
928,ME1
929,TBC1D1
930,CDK13
931,MTHFD2
932,SLC9A7
933,FOXJ2
934,YBX1
935,PDE4A
936,PPP2R5A
937,CTNNA2
938,ELAVL1
939,TIE1
940,DIP2B
941,SMARCD1
942,KDM4A
943,NFYC
944,ZMYND12
945,SLC9A3
946,NGEF
947,ASPM
948,CD84
949,ELOVL1
950,SPI1
951,ZNRD1
952,MPPED2
953,CLDN18
954,ZBTB11
955,ATXN3
956,GOLGA5
957,FGFR2
958,LRRC40
959,ISOC1
960,EML1
961,TRMT11
962,THUMPD1
963,MSANTD3
964,KIF26A
965,ATG2B
966,ARFGEF1
967,ACSM2B
968,ZFAT
969,MTFR1
970,STAG3
971,FECH
972,MYO9A
973,DDX3Y
974,PFKP
975,IDI1
976,SP100
977,KLF6
978,PLPP1
979,NEO1
980,TRAM1
981,PHKA1
982,TNFRSF1A
983,CACNB1
984,EVI5
985,STOML1
986,PKM
987,DHX29
988,DNTTIP2
989,METTL22
990,TP53BP1
991,TRO
992,RRP15
993,RHOA
994,DHX8
995,PMS2P4
996,PRKCZ
997,ZFY
998,IARS2
999,SYT1
1000,NAV3
1001,IDH3G
1002,ROGDI
1003,PDZD4
1004,ATP2B3
1005,ROCK1
1006,CBFB
