,genes
0,Scml2
1,APOH
2,NARF
3,CAV2
4,KLF6
5,SCMH1
6,COX5A
7,TBX2
8,NGFR
9,WNT3
10,WNT9A
11,Fer
12,XPO6
13,TFE3
14,AXIN2
15,BRAT1
16,GNA12
17,IGSF5
18,PIH1D2
19,DLAT
20,SDHD
21,CCND2
22,GPR107
23,NALCN
24,BTBD17
25,TH
26,DRP2
27,LHX2
28,GMPR
29,GLRA1
30,MID2
31,TRIM25
32,DGKE
33,SCPEP1
34,MNT
35,ITGB2
36,HDDC2
37,TPD52L1
38,PEMT
39,CDH1
40,CDH4
41,CKMT1B
42,BCL6B
43,CLEC10A
44,ALOX12
45,ARVCF
46,COMT
47,RTCA
48,DBT
49,DAZAP2
50,MCTS1
51,RNF17
52,TRAPPC10
53,CCM2
54,TBRG4
55,FAP
56,NDUFA9
57,EGFL6
58,LCK
59,CTTNBP2
60,GALNT1
61,MKRN2
62,PPARG
63,RAF1
64,SEPT1
65,PDGFB
66,ACVRL1
67,GRASP
68,ACVR1B
69,TOM1L2
70,ZNF385A
71,GABRA2
72,WDR77
73,ADORA3
74,ATP5F1
75,SOX9
76,HNRNPD
77,C1D
78,GM2A
79,KRIT1
80,Clcn4
81,SEMA4F
82,HK2
83,MYO18A
84,SEZ6
85,Cd52
86,ABHD15
87,LOXL3
88,KAT2B
89,RAB5B
90,ICOSLG
91,SPG7
92,RPL13
93,CHMP1A
94,RPA1
95,SERPINF1
96,TUBGCP3
97,OPRM1
98,POLR3D
99,Tcf7
100,DDX3X
101,SLC5A5
102,KCNN3
103,USP32
104,CA4
105,TXNRD3
106,Zfp512b
107,DNAJC5
108,TPD52L2
109,FMR1
110,BCL11A
111,IL4
112,PXMP4
113,DLG3
114,GNB1L
115,DBH
116,MMP11
117,SMARCB1
118,HIP1R
119,NSUN5
120,TOP1MT
121,Gm38393
122,MMP14
123,SLC7A7
124,OXA1L
125,HEATR6
126,CCL3L3
127,Wfdc18
128,ICAM4
129,ILF2
130,Chtop
131,SNAPIN
132,S100A4
133,S100A3
134,S100A6
135,ICAM2
136,MAPK7
137,EPN2
138,B9D1
139,SEC24B
140,N4BP3
141,RMND5B
142,NHP2
143,VPS9D1
144,ZNF276
145,MFSD10
146,LUZP1
147,KCTD10
148,POLDIP2
149,SEBOX
150,IFT20
151,COL6A1
152,PCBP3
153,LGALS9B
154,ARAF
155,CFP
156,TIMP1
157,UXT
158,CNNM3
159,LMAN2L
160,MCM3AP
161,Pcnt
162,MXD1
163,GMCL1
164,SNRNP27
165,Oas1c
166,OCRL
167,Calm1
168,AGPAT3
169,SEMA6B
170,DPP9
171,RAMP2
172,LSR
173,GRAMD1A
174,GABRG1
175,CKB
176,SP1
177,C12orf10
178,RARG
179,PFDN5
180,EFNB2
181,RRP15
182,RND2
183,SRR
184,SYNC
185,FNDC5
186,Acp5
187,CNN1
188,FBXO9
189,Vps50
190,HARS
191,ZMAT2
192,UBE2C
193,SMG5
194,CCT3
195,Glmp
196,MEF2D
197,TMEM79
198,SND1
199,COL18A1
200,SLC19A1
201,KPNB1
202,NPEPPS
203,MRPL10
204,CYP51A1
205,TCF25
206,TUBB6
207,DEF8
208,MEOX1
209,COL1A1
210,ITGA3
211,SGCA
212,FOXM1
213,ITFG2
214,NRIP2
215,TULP3
216,GTF2H4
217,TUBB
218,ELL2
219,JUP
220,FKBP10
221,NOM1
222,ERGIC1
223,TCEA3
224,IFRD1
225,STK38L
226,BRPF1
227,AKR1B1
228,Gstt1
229,Gstt3
230,DDT
231,MARVELD3
232,DDX18
233,UBL3
234,GRAMD3
235,EEF1E1
236,AKT1
237,IL16
238,TCIRG1
239,NAGLU
240,COASY
241,SMO
242,TSPAN33
243,CRNKL1
244,RIN2
245,Folh1
246,CHORDC1
247,RTCB
248,PWP1
249,FBXO7
250,CAPNS1
251,LRP3
252,FOLR1
253,CLPB
254,SEPT7
255,ZDHHC4
256,RAC1
257,NUP214
258,AIF1L
259,LTBP1
260,UGP2
261,KCNH6
262,TRMT1
263,NACC1
264,NFIX
265,SLC1A5
266,UBA1
267,VWF
268,SIAE
269,VSIG2
270,ESAM
271,SPA17
272,FAM50A
273,EMD
274,TACO1
275,GRIK3
276,GRIA3
277,NPAS1
278,SIPA1L2
279,AP4E1
280,BLVRA
281,PDZD4
282,SRPK3
283,IDH3G
284,PNCK
285,SSR4
286,BCAP31
287,FAM98A
288,LTBP2
289,KMT2A
290,IFT46
291,TMEM25
292,TRAPPC6A
293,SUPT6H
294,SPAG5
295,UNC119
296,RAB34
297,SDF2
298,CCNE1
299,HSF2BP
300,BBC3
301,MYBPC3
302,PSMC3
303,ACP2
304,RAPSN
305,SLC39A13
306,CELF2
307,NR1H3
308,DDB2
309,SPI1
310,SF3A1
311,STAT6
312,CLGN
313,VRK3
314,SMG9
315,Paxip1
316,RMND5A
317,MOV10
318,PPM1J
319,RHOC
320,TEAD3
321,PPARD
322,DEF6
323,PEG3
324,Zim1
325,METRN
326,LMF1
327,NARFL
328,ANGPTL4
329,DBF4
330,DAXX
331,CD320
332,IPO4
333,TM9SF1
334,REC8
335,IRF9
336,GMPR2
337,MDP1
338,DHRS1
339,NCAN
340,TMEM161A
341,ARMC6
342,Borcs8
343,SLC25A42
344,SNX9
345,RANBP3
346,NDUFA11
347,NR2F6
348,USE1
349,OCEL1
350,DYRK1B
351,BRAF
352,NDUFB2
353,HLTF
354,PRPF6
355,RGS19
356,RGS20
357,ABHD3
358,SNRPD1
359,TCHP
360,TIAM1
361,TSC2
362,RPL3L
363,SLC9A3R2
364,PUF60
365,GOLGA2
366,UCK1
367,IKZF4
368,MIEN1
369,AXL
370,TGFB1
371,CCDC97
372,Zfp40
373,AKAP8L
374,SHH
375,PDCD2L
376,GTF2F1
377,CLPP
378,ALKBH7
379,DENND1C
380,MED6
381,PRKD1
382,LCP2
383,CSE1L
384,NAA20
385,PRKRA
386,FKBP7
387,PLEKHA3
388,YKT6
389,BAZ1B
390,PEX6
391,MRPL2
392,MEA1
393,GNMT
394,GRIN2D
395,KDELR1
396,TMEM143
397,GGCT
398,JAG2
399,BTBD6
400,NUDT14
401,EPDR1
402,FLII
403,TOP3A
404,ATG4D
405,QTRT1
406,PLIN4
407,HDGFRP2
408,CHAF1A
409,ADPRH
410,TMEM39A
411,TIMMDC1
412,PLA1A
413,MCM2
414,TPRA1
415,NAB1
416,Adgre5
417,IL17RA
418,LAMB1
419,KCNN1
420,ARRDC2
421,CD36
422,MAP2K7
423,TIMM44
424,AP2A2
425,PNKP
426,MED25
427,BCAM
428,CLPTM1
429,RELB
430,TOMM40
431,APOE
432,HBP1
433,PRKAR2B
434,CDKN1B
435,KLF4
436,AP1M1
437,RAB8A
438,Hmgn2
439,FAM32A
440,STARD3NL
441,STK11
442,EFNA2
443,ATP5D
444,PPP5C
445,CDK12
446,LIPE
447,PAFAH1B2
448,TBC1D8
449,CNOT11
450,SLC2A3
451,FOXJ2
452,SRI
453,DGCR2
454,IRF3
455,BCL2L12
456,Zfp959
457,MPND
458,SH3GL1
459,EBI3
460,CCDC94
461,RGPD1
462,GRK5
463,DVL3
464,ABCF3
465,EIF2B5
466,CYTH2
467,SULT2B1
468,CA11
469,DLGAP1
470,HCK
471,MRPL4
472,KEAP1
473,GLG1
474,BTBD2
475,CSNK1G2
476,ABHD17A
477,CACNB3
478,CCDC65
479,FKBP11
480,DDX23
481,PLD3
482,GRIK5
483,CD79A
484,RABAC1
485,ETV3
486,PRKCSH
487,ELAVL3
488,RAB3B
489,ST8SIA6
490,FCGRT
491,NOSIP
492,PIH1D1
493,RPS11
494,SUPT5H
495,DLL3
496,PAF1
497,TIMM50
498,MED29
499,BICD1
500,NCSTN
501,PEX19
502,PHYHIP
503,CRHR2
504,INMT
505,IMPDH1
506,DUSP3
507,LOC102724788
508,DGCR14
509,Slc25a1
510,Dgcr6
511,DDR1
512,IER3
513,FOSB
514,KLC4
515,ERCC1
516,AS3MT
517,HOMER3
518,CRTC1
519,RNF215
520,SEC14L2
521,AVEN
522,CP
523,CROT
524,RPS6KA1
525,CALB2
526,SNRNP200
527,CIAO1
528,HAS1
529,TAF6L
530,INSIG2
531,KPNA6
532,MAN1A1
533,ITPKC
534,Coq8b
535,BRD8
536,KIF20A
537,FARSA
538,GCDH
539,MAST2
540,DNASE2
541,RAD23A
542,CALR
543,SYCE2
544,NFAT5
545,NOB1
546,NQO1
547,PPFIA3
548,GYS1
549,RUVBL2
550,LIN7B
551,BAX
552,IL7R
553,TFAM
554,Zfp81
555,EFNB3
556,MMD
557,HLF
558,FAM162A
559,RPL8
560,GRM3
561,SSBP2
562,FANCL
