,correlation,p_value
A8m,0.33564824693237516,1.1993828909039827e-143
A8dl,0.3732331772780043,9.13896943503774e-180
A9l,0.33201682429539425,2.0527556390390135e-140
A6dl,0.27674556780031456,2.0448602801812354e-96
A6m,0.34487656396468946,4.604284473548684e-152
A9m,0.23263025853314118,6.838624539628038e-68
A10m,0.3950097519074808,5.138896494304345e-203
A9/46d,0.42068543916734175,8.92168499112879e-233
IFJ,0.3092416498044935,4.048287829521476e-121
A46,0.42440824325004034,2.5994788606183837e-237
A9/46v,0.3757523557340526,2.297397715245611e-182
A8vl,0.34012654014165544,1.0735949694200492e-147
A6vl,0.2831806617566327,4.7280248990690794e-101
A10l,0.3824307463633144,2.2737500765221745e-189
A44d,0.4419847141390261,1.6354002838665118e-259
IFS,0.4468861294966692,6.093710113234732e-266
A45c,0.35847317078401625,5.409810588820466e-165
A45r,0.38184882217213073,9.4110749335843e-189
A44op,0.36683742212905895,2.8683474327466222e-173
A44v,0.42422451309925185,4.3658939031364457e-237
A14m,0.40636062318452715,7.524880169967038e-216
A12/47o,0.39728116940058195,1.52276941988222e-205
A11l,0.4316674452541823,2.539831008449604e-246
A11m,0.4377681071191114,4.572577195719995e-254
A13,0.09905060331522106,2.3127873341693863e-13
A12/47l,0.38978865624326176,2.8016046325057426e-197
A32p,0.40677081610352184,2.5307635435473233e-216
A32sg,0.385592126347741,9.623237653617224e-193
A24cd,0.2897782368659618,6.193812742859813e-106
A24rv,0.23668241439726476,2.7937747140772916e-70
A4hf,0.3454368971713814,1.3895617193388179e-152
A6cdl,0.4559949102401625,3.5793269443293806e-278
A4ul,0.3390699715527646,9.817239138830376e-147
A4t,0.3945507646105719,1.6570818909017613e-202
A4tl,0.4510578996410241,1.6957218531199665e-271
A6cvl,0.4313146591593189,7.043802119823401e-246
A1/2/3ll,0.3962298147764189,2.2663620395931512e-204
A4ll,0.4064433642864474,6.040780452010921e-216
A1/2/3ulhf,0.4240095614489185,8.004764154266214e-237
A1/2/3tonIa,0.4626443090151552,2.4383631544148543e-287
A2,0.45071873353235686,4.829735614120198e-271
A1/2/3tru,0.419576033637983,1.9544030679679518e-231
A7r,0.39820419017283437,1.411130059819846e-206
A7c,0.47329414797657066,1.8854133883627218e-302
A5l,0.49601162400607723,0.0
A7pc,0.43403604265977236,2.611031173182316e-249
A7ip,0.4164508026110744,1.0974262621280112e-227
A39c,0.43953789412086836,2.4184858952101203e-256
A39rd,0.4101808512019793,2.7744550564463628e-220
A40rd,0.359742626502966,3.1126154603780246e-166
A40c,0.474006017868065,1.7621817282259924e-303
A39rv,0.46813166133499806,4.653073664693877e-295
A40rv,0.33946098609883574,4.3323745756053783e-147
A7m,0.3942249346926572,3.80026438279085e-202
A5m,0.5086065641388762,0.0
dmPOS,0.4387087642428809,2.830124826873257e-255
A31,0.5144874709348932,0.0
A23d,0.3720955239704649,1.3406757894375317e-178
A23c,0.4136236463030669,2.500038308194748e-224
A23v,0.05527573766425656,4.44116045365272e-05
cLinG,0.43069502579510366,4.2132867697573016e-245
rCunG,0.45218456574719396,5.19551029018129e-273
cCunG,0.3953725569840221,2.034117316963193e-203
rLinG,0.3795599971437624,2.4425031480862864e-186
vmPOS,0.46027574699535495,4.739049695575903e-284
mOccG,0.40146202794259467,2.9985369908274702e-210
V5/MT+,0.3775440050418144,3.1493967458617644e-184
OPC,0.34476504859277995,5.842240785467318e-152
iOccG,0.3481531464925957,4.032384344791227e-155
msOccG,0.4075946371290482,2.823448917835731e-217
lsOccG,0.30248867227255766,1.021708297865678e-115
G,-0.0375694955916971,0.005534914835915448
vIa,-0.032031684716671435,0.018030451743971956
dIa,0.34180184709769396,3.1558116787345847e-149
vId/vIg,0.11637173929941014,6.7449464774259824e-18
dIg,0.28070321152215205,2.9798785318744903e-99
dId,0.4157758801732198,6.996224175008472e-227
A38m,0.3379843648590948,9.454562475395499e-146
A41/42,0.24327314530147623,2.9019390183402397e-74
TE1.0 and TE1.2,0.41069600546001517,6.932688531031128e-221
A22c,0.5148024657162249,0.0
A38l,0.3476345652468418,1.2357558005567381e-154
A22r,0.38838161389418385,9.45449563334091e-196
A21c,0.3033808654720419,2.0129135440060297e-116
A21r,0.24590430984342457,6.889472258199851e-76
A37dl,0.33730888526218705,3.851998852153723e-145
aSTS,0.33260403932053645,6.200959645667112e-141
A20iv,0.36661921685969673,4.7499063094012234e-173
A37elv,0.45843096063589034,1.6561958277144565e-281
A20r,0.3353919133402347,2.035333016860032e-143
A20il,0.36092943119982274,2.1314299115629427e-167
A37vl,0.3951108372804085,3.969877687794839e-203
A20cl,0.44447367013868266,9.1683686713367e-263
A20cv,0.35884272008496715,2.359260734310231e-165
A20rv,0.3098712278030534,1.2482789036021232e-121
A37mv,0.2992429856296063,3.588404262912241e-113
A37lv,0.4128774282020931,1.9001227540642357e-223
A35/36r,0.3317588042704813,3.4706295670781757e-140
A35/36c,0.23502176118526014,2.6958615274632234e-69
lateral PPHC,0.0486785704744184,0.000324031425819602
A28/34,0.3412893360806991,9.30477167055108e-149
TI,0.3011346396406311,1.189262318640738e-114
TH,0.05267507001976833,9.989101612033025e-05
rpSTS,0.3417291453342497,3.679417514169449e-149
cpSTS,0.37818439502224277,6.752625097481087e-185
mAmyg,0.4784513959097818,5.78917109016453e-310
lAmyg,0.4760326702160294,2.0051242066483994e-306
CA1,0.40116808635434514,6.456145210983727e-210
CA4DG,0.3393486910051956,5.480326454539843e-147
CA2CA3,0.32930597311328086,4.983514164848197e-138
subiculum,0.35379998347556435,1.7761999055107892e-160
Claustrum,0.29767970968188723,5.878734891861913e-112
head of caudate,0.7224806071885574,0.0
body of caudate,0.7168122569802722,0.0
Putamen,0.5729189446264854,0.0
posterovemtral putamen,0.20855229351432591,1.248457380016107e-54
nucleus accumbens,0.441285238957915,1.3257844204988896e-258
external segment of globus pallidus,0.6279151313061095,0.0
internal segment of globus pallidus,0.5102597656097113,0.0
mPMtha,0.537712000104536,0.0
Stha,0.5684747827354415,0.0
PPtha,0.6140668525739988,0.0
Otha,0.6471636484251104,0.0
mPFtha,0.5393774506175888,0.0
lPFtha,0.5531023100363328,0.0
rTtha,0.5101382386673718,0.0
cTtha,0.6057391491265408,0.0
