,genes
0,ZFP1
1,HELQ
2,ECSIT
3,DUSP3
4,SLC16A8
5,TBL1X
6,PCDHB15
7,IFT172
8,LGMN
9,GRPEL2
10,DOCK1
11,COX11
12,GPRASP1
13,MPND
14,NOXO1
15,CLMN
16,B3GALT2
17,TBC1D8B
18,MAPK1
19,MARCKSL1
20,AGBL3
21,KNTC1
22,LSS
23,JPH1
24,SIRT3
25,ARHGAP25
26,MAP10
27,CRHBP
28,CMTM4
29,PLEKHM2
30,OPLAH
31,SH3BP5
32,AMN1
33,CDH4
34,GPR137C
35,HECA
36,TRIP10
37,WHAMM
38,COL6A1
39,UBE2W
40,MSS51
41,PEX11B
42,LGALS1
43,CCDC137
44,SSBP2
45,TFAM
46,INPP5J
47,TNFRSF12A
48,AASS
49,TRAF5
50,GJA1
51,PRDM15
52,CTSF
53,DCTD
54,AUTS2
55,CHRM3
56,TMEM108
57,ZFHX3
58,MCCC1
59,INHA
60,WDR74
61,FAM3C
62,DPH5
63,GFRA2
64,TPPP
65,SF3B2
66,SYNJ2
67,TMEM74
68,SHANK1
69,PMFBP1
70,NR2E1
71,PARVB
72,SLIT1
73,PTH2R
74,S1PR5
75,PREX2
76,SOX6
77,HSPH1
78,ZNF263
79,TBP
80,KLF3
81,RPIA
82,PLEKHA2
83,ARFGAP1
84,RBP1
85,GPT2
86,EEPD1
87,SESTD1
88,FOXO1
89,NRSN2
90,ATF4
91,KSR2
92,SGTB
93,E2F1
94,SWAP70
95,PPM1M
96,ADRB1
97,MAST4
98,CCDC92
99,BTG3
100,TMEM70
101,TLE3
102,NAA10
103,LIN9
104,CITED2
105,EPHA7
106,ALPL
107,PARD3B
108,CDK14
109,PIM1
110,FBXO41
111,FHL3
112,LRFN2
113,ERLEC1
114,SPAG17
115,ZSCAN20
116,SLCO4C1
117,GLS2
118,ATXN2
119,PSTPIP1
120,SLC24A4
121,STK32C
122,KCTD4
123,FAM219B
124,RAB3C
125,GNG13
126,MAL
127,KY
128,SCO2
129,AGMAT
130,MALT1
131,MPL
132,CCSAP
133,EZH1
134,GNPDA1
135,FBXO46
136,TC2N
137,RANGAP1
138,ETV4
139,RTN1
140,ADCY8
141,ARNTL2
142,KCNH7
143,RAD1
144,RELN
145,KLK6
146,ATG14
147,TCF7L1
148,MICALL1
149,NBEAL2
150,LRRK1
151,ATP13A1
152,KALRN
153,EHD3
154,LAMA2
155,ZSWIM3
156,NAE1
157,HERC2
158,SNPH
159,PARP8
160,CNTN3
161,ARMC8
162,CA14
163,GINS1
164,PLEKHA7
165,AGA
166,CBLN4
167,TPX2
168,PTPN9
169,G2E3
170,CNTNAP5
171,PPP2R2C
172,SNUPN
173,UGP2
174,SNX21
175,DNAL1
176,CEP112
177,SETD6
178,PCDHB11
179,FAM168A
180,SEMA6B
181,NEURL1
182,GIN1
183,CYP4X1
184,GRP
185,FAR2
186,ARL4D
187,RAPGEFL1
188,NELFCD
189,MTHFD2L
190,TET2
191,EGR4
192,LFNG
193,PDZRN4
194,AP1B1
195,MRAS
196,PNCK
197,NPY
198,HOMER2
199,PKD2
200,HERPUD1
201,LYZL4
202,PRKAB1
203,RCBTB2
204,NPTXR
205,NEK7
206,HS3ST1
207,SH2D5
208,CUX2
209,NCK2
210,NFATC2IP
211,IGF2BP3
212,FBXO27
213,FGF9
214,NOP2
215,JOSD2
216,SIVA1
217,DNAH12
218,UACA
219,SOWAHB
220,AKAP8L
221,BBS12
222,POMGNT2
223,WNT7A
224,PSRC1
225,RHBDD1
226,OPRM1
227,ZC3H18
228,CCDC169
229,SLC17A5
230,ARL4A
231,CDH13
232,FAIM2
233,NIP7
234,PTGER3
235,ANO1
236,SLC12A5
237,COA4
238,ARHGEF18
239,TRPM4
240,ZBTB37
241,ASPM
242,ENDOG
243,CYB561D1
244,RAB11FIP3
245,PARP9
246,AGTRAP
247,FAM83D
248,ANKRD12
249,RSAD1
250,TPH2
251,YIPF2
252,CFP
253,LRRFIP1
254,CHTF8
255,LPAR1
256,RHOC
257,VHL
258,OXNAD1
259,PIP4K2B
260,HEPH
261,GLT8D2
262,SLIT2
263,NDST3
264,STRIP2
265,RPP40
266,ZFAT
267,RAVER2
268,MPP7
269,MAS1
270,NXPH4
271,CHST1
272,CBY1
273,DNAJC5
274,MIA3
275,CSRNP3
276,CDH18
277,NSMAF
278,SENP3
279,PSMC6
280,ZBTB46
281,MAPKAPK5
282,PID1
283,FAM210B
284,DUSP1
285,DDOST
286,MAF1
287,ARHGAP29
288,MATK
289,CREB3L2
290,AHR
291,PITPNM1
292,B3GAT2
293,UHRF2
294,ZDHHC3
295,PDGFA
296,VPS72
297,ARAP3
298,FMR1
299,C16orf91
300,ZNF777
301,OSGEP
302,CACNA2D3
303,SLC22A18
304,TMEM260
305,COG2
306,RHOF
307,BTBD6
308,ING1
309,SPTBN2
310,CRTAC1
311,LYPD6B
312,MYCN
313,SPTB
314,CTU2
315,NKRF
316,CDK5R1
317,CPLX2
318,CCNDBP1
319,TCF20
320,CD38
321,KNDC1
322,SCN1B
323,HMCES
324,SLC6A13
325,CCDC84
326,KLHL29
327,RIMKLB
328,MYO16
329,EFCAB1
330,LINGO2
331,DPM2
332,GDPD5
333,COL16A1
334,LMBRD2
335,STXBP5
336,NCOR1
337,RSPH9
338,TALDO1
339,NMT2
340,NLN
341,SDSL
342,SKAP1
343,GPR155
344,HIC2
345,JTB
346,RALGAPA2
