,genes
0,ZFP1
1,HELQ
2,ECSIT
3,NUSAP1
4,KLK8
5,TBL1X
6,IFT172
7,GRPEL2
8,DOCK1
9,CLMN
10,ITK
11,TBC1D8B
12,MAOA
13,AGBL3
14,LSS
15,ARHGAP25
16,ARHGDIB
17,FGFR3
18,CRHBP
19,PLEKHM2
20,SH3BP5
21,SH3PXD2A
22,CDH4
23,GPR137C
24,AIMP1
25,PANK3
26,METTL17
27,COQ10A
28,HECA
29,UBE2Q2
30,TRIP10
31,COL6A1
32,UBE2W
33,RNH1
34,MSS51
35,SSBP2
36,TFAM
37,INPP5J
38,RRM2B
39,AASS
40,GJA1
41,FLNB
42,TEX26
43,AUTS2
44,CHRM3
45,RNF135
46,ZFHX3
47,MCCC1
48,GPRC5B
49,ATP8B3
50,WSB1
51,FAM3C
52,DPH5
53,GFRA2
54,TPPP
55,SLC5A6
56,CCDC126
57,VMP1
58,SHANK1
59,LAPTM4B
60,BOD1L1
61,SLIT1
62,PTH2R
63,ZNF263
64,SLC8B1
65,KLF3
66,EEPD1
67,NAGK
68,FOXO1
69,SGTB
70,E2F1
71,SWAP70
72,PPM1M
73,ADRB1
74,GOLPH3
75,MAST4
76,CCDC92
77,BTG3
78,TLE3
79,LIN9
80,ME2
81,ALOX5AP
82,TIMP4
83,CDH6
84,CITED2
85,EPHA7
86,IL6R
87,PARD3B
88,CDK14
89,PIM1
90,SPAG17
91,ZSCAN20
92,SLCO4C1
93,HSPB6
94,GLS2
95,ATXN2
96,PSTPIP1
97,CSNK1A1
98,HYAL1
99,STK32C
100,KCTD4
101,GNG13
102,ENGASE
103,KY
104,AGMAT
105,MALT1
106,FKBP14
107,CCSAP
108,TC2N
109,MPC2
110,ETV4
111,ADCY8
112,RELN
113,ZMYM6
114,MICALL1
115,LRRK1
116,KALRN
117,LAMA2
118,SNPH
119,PECAM1
120,DSCAML1
121,NFS1
122,CNTN3
123,ARMC8
124,CA14
125,PRSS56
126,GPR35
127,AGA
128,CBLN4
129,G2E3
130,MATR3
131,CNTNAP5
132,PPP2R2C
133,SNUPN
134,CA8
135,UGP2
136,SNX21
137,SNX24
138,TBC1D4
139,CEP112
140,SETD6
141,FAM168A
142,CEP104
143,GRP
144,FAR2
145,ARL4D
146,NELFCD
147,MTHFD2L
148,TET2
149,CP
150,PDZRN4
151,ARHGAP42
152,AP1B1
153,WRAP73
154,DNPEP
155,LYRM2
156,INHBA
157,PNCK
158,DGKD
159,NPY
160,PKD2
161,HERPUD1
162,LYZL4
163,NSMCE2
164,PRKAB1
165,NPTXR
166,NEK7
167,HS3ST1
168,IGDCC4
169,SH2D5
170,CUX2
171,ACY3
172,ACP6
173,NCK2
174,NFATC2IP
175,IGF2BP3
176,TTC17
177,DDX17
178,FGF9
179,NOP2
180,ASCC2
181,DNAH12
182,UACA
183,NIPBL
184,SGPP1
185,SOWAHB
186,FSCN1
187,TDRD6
188,WNT7A
189,RHBDD1
190,OPRM1
191,SCN7A
192,PREX1
193,SLC17A5
194,ARL4A
195,CDH13
196,PTGER3
197,USF2
198,SLC12A5
199,ARHGEF18
200,IRF2BPL
201,TRPM4
202,ZBTB37
203,ASPM
204,RAB11FIP3
205,PARP9
206,AGTRAP
207,FAM83D
208,TPH2
209,YIPF2
210,LRRFIP1
211,MMP14
212,CHTF8
213,LEPROTL1
214,LPAR1
215,RHOC
216,STIM2
217,GSTM2
218,MAX
219,OXNAD1
220,WDR93
221,HEPH
222,GLT8D2
223,SLIT2
224,NDST3
225,DHX9
226,ZFAT
227,RAVER2
228,MPP7
229,MAS1
230,NXPH4
231,IQUB
232,ARL2BP
233,FAM222B
234,ITGB2
235,MIA3
236,CSRNP3
237,SENP3
238,KIF23
239,PID1
240,FAM210B
241,DUSP1
242,ARHGAP29
243,MATK
244,CREB3L2
245,PITPNM1
246,B3GAT2
247,BMS1
248,ERG
249,ZDHHC3
250,PDGFA
251,COBLL1
252,OSGEP
253,CACNA2D3
254,SLC22A18
255,COG2
256,RHOF
257,QSOX2
258,NRDE2
259,ING1
260,CRTAC1
261,ATG3
262,CHD1
263,SPTB
264,IKZF1
265,CDK5R1
266,FGGY
267,SBF2
268,SCN1B
269,GNA14
270,HMCES
271,CREM
272,KLHL29
273,RIMKLB
274,MYO16
275,EFCAB1
276,LINGO2
277,GPR17
278,GDPD5
279,COL16A1
280,RSPH9
281,NMT2
282,NSUN4
283,NLN
284,SDSL
285,SKAP1
286,EPN2
287,RALGAPA2
288,PRTN3
289,SCUBE1
290,PGAM1
291,ZZZ3
292,DND1
293,ZSCAN12
294,SFMBT2
295,BRWD3
296,TSC22D1
297,MGME1
298,KLHL20
299,DOT1L
300,SKIDA1
301,PHF6
302,CTSK
303,MDFIC
304,LTC4S
305,SMAD1
306,NECAB2
307,TMEM159
308,AP3B1
309,CIAO1
310,CDKN3
311,CLEC2L
312,NMUR2
313,INTU
314,CSTF2
315,PDGFD
316,DGKK
317,SRGAP1
318,TNFAIP8L1
319,PLAGL2
320,HLCS
321,WDR83
322,FITM2
323,SALL4
324,TTC39B
325,CEBPG
326,HMG20B
327,DPY19L2
328,FIBIN
329,RCL1
330,HTR1F
331,MTG2
332,RAB8B
333,HEPACAM
334,ABCB9
335,FASTKD1
336,RGS10
337,PSAT1
338,SYDE2
339,MYO1F
340,CDON
341,PKDCC
342,RAB11FIP4
343,GALNT13
344,SEL1L3
345,INA
346,DACH1
