,correlation,p_value
A8m,0.40357188146140727,1.1921529118124084e-212
A8dl,0.42887164063297184,7.964085182020702e-243
A9l,0.41327914593047216,6.380770948788997e-224
A6dl,0.3822588308987933,3.460356888935411e-189
A6m,0.41425878293495366,4.4306153766075604e-225
A9m,0.34921828222929324,4.0150291294996385e-156
A10m,0.44254533438766547,3.0454490403781312e-260
A9/46d,0.45814203978200957,4.130782906055186e-281
IFJ,0.40228425461202494,3.4950749120252408e-211
A46,0.4684614306218237,1.5824259755992093e-295
A9/46v,0.4366108518603914,1.3852260773085975e-252
A8vl,0.4136767046045047,2.1638706064546764e-224
A6vl,0.38949009269410856,5.919862741089283e-197
A10l,0.4436899399464995,9.750156996363378e-262
A44d,0.48275200387136424,2.5025575e-316
IFS,0.49198763899038134,0.0
A45c,0.42458341915111786,1.5850877133068585e-237
A45r,0.4498156017207853,7.795367465484485e-270
A44op,0.4308866910459379,2.423874354728663e-245
A44v,0.46351585737986795,1.4806653627941572e-288
A14m,0.45641971470322495,9.424129244189169e-279
A12/47o,0.4569649584119172,1.6949616543442732e-279
A11l,0.46645423917214446,1.1027106550045567e-292
A11m,0.46754173776281727,3.194526838593067e-294
A13,0.2423088813283296,1.1301398873389508e-73
A12/47l,0.4471527234053391,2.7050575262388315e-266
A32p,0.42529315172159704,2.129821322760391e-238
A32sg,0.40702945763835124,1.2720648393871614e-216
A24cd,0.3583133626446263,7.742615752003096e-165
A24rv,0.30462739275734013,2.06044153552526e-117
A4hf,0.453114906429483,2.8931244442744963e-274
A6cdl,0.501713615630801,0.0
A4ul,0.4398060525935083,1.08995124544809e-256
A4t,0.48069782762756713,2.81584148006e-313
A4tl,0.4777129295999125,7.0193890041785e-309
A6cvl,0.48266199380831926,3.40816166e-316
A1/2/3ll,0.4717270632142764,3.410479113966887e-300
A4ll,0.48296880413524146,1.1888741e-316
A1/2/3ulhf,0.4748217350889171,1.157523253769687e-304
A1/2/3tonIa,0.4765366193776573,3.6899287600226756e-307
A2,0.47489809296466967,8.96750325335059e-305
A1/2/3tru,0.468571297681171,1.1044596081560153e-295
A7r,0.4889610000265121,0.0
A7c,0.5361620048543043,0.0
A5l,0.5390790913799641,0.0
A7pc,0.5114402351198609,0.0
A7ip,0.506999745523023,0.0
A39c,0.4857741572233957,7.43e-321
A39rd,0.4583085959357274,2.439290725644219e-281
A40rd,0.4236296722920595,2.334386655030113e-236
A40c,0.48581893507192403,6.364e-321
A39rv,0.4858435099730802,5.85e-321
A40rv,0.41239582094041427,7.015855852202106e-223
A7m,0.48410123514791886,2.414855e-318
A5m,0.5573781339671798,0.0
dmPOS,0.5253279310216803,0.0
A31,0.5560714248620363,0.0
A23d,0.4541382201677051,1.1946730577695221e-275
A23c,0.4742172638903377,8.712076149174532e-304
A23v,0.2614809568018061,6.548682301178133e-86
cLinG,0.5120935835280105,0.0
rCunG,0.5260276178727569,0.0
cCunG,0.47836232121106964,7.82479219316466e-310
rLinG,0.5002061950287172,0.0
vmPOS,0.5471362033503655,0.0
mOccG,0.4684478175254002,1.6545128150343822e-295
V5/MT+,0.45650041330348307,7.31225394094833e-279
OPC,0.4193530753513997,3.629277695514246e-231
iOccG,0.4203528231604958,2.253713682809354e-232
msOccG,0.4680357060633118,6.367100785055658e-295
lsOccG,0.39212031741981,7.914026053718198e-200
G,0.17095346628805158,5.043715985685346e-37
vIa,0.08324527422140003,7.491255088814063e-10
dIa,0.4162437541937992,1.938062450106362e-227
vId/vIg,0.17892676381985315,1.8969076039614943e-40
dIg,0.3880173612765233,2.34447521618251e-195
dId,0.44483566611338415,3.070083921582668e-263
A38m,0.36604055659008444,1.8062134339645996e-172
A41/42,0.37963359948867326,2.044103146171405e-186
TE1.0 and TE1.2,0.47158431338665263,5.468445415961407e-300
A22c,0.5314975403535782,0.0
A38l,0.37568710723962767,2.684488315259317e-182
A22r,0.44822584732107396,1.0214975387681876e-267
A21c,0.33037691584323153,5.729893682450206e-139
A21r,0.2999549244422433,9.984808474115116e-114
A37dl,0.35436754229809386,5.070507452441779e-161
aSTS,0.35385354119454937,1.578205516270589e-160
A20iv,0.42842471289633055,2.8641368716608902e-242
A37elv,0.4885515186559073,0.0
A20r,0.41256460398986355,4.4398918188804265e-223
A20il,0.42577922864302253,5.371834814511406e-239
A37vl,0.4573397951859556,5.201802721023626e-280
A20cl,0.47556651812524825,9.572649094619186e-306
A20cv,0.429777006116186,5.922836658002626e-244
A20rv,0.39828313256811015,1.1509590726608718e-206
A37mv,0.42509071329224213,3.7774292115801626e-238
A37lv,0.46906061829960166,2.2227822306550055e-296
A35/36r,0.3293778356372366,4.311407908118278e-138
A35/36c,0.28071192962327446,2.9369628334755247e-99
lateral PPHC,0.13207269524835,1.2218982074470315e-22
A28/34,0.30525320558706853,6.533804061831875e-118
TI,0.31127184762194027,9.017223528443748e-123
TH,0.21586803909244956,1.715245234390178e-58
rpSTS,0.4148439517937924,8.96728218539418e-226
cpSTS,0.4404869070048462,1.4360319550025518e-257
mAmyg,0.46280377827530506,1.4613386123062968e-287
lAmyg,0.43983025447253216,1.0142666889196459e-256
CA1,0.4313686333771513,6.026491206835329e-246
CA4DG,0.3790282114538995,8.830315526315318e-186
CA2CA3,0.37276272995935017,2.7785162994536914e-179
subiculum,0.41250879015127956,5.1652897010009885e-223
Claustrum,0.3361115104708233,4.6058727513757716e-144
head of caudate,0.7338250547676909,0.0
body of caudate,0.7338374347646954,0.0
Putamen,0.6207982658679388,0.0
posterovemtral putamen,0.2172518267674284,3.0726251628948635e-59
nucleus accumbens,0.481417420575502,2.416097162e-314
external segment of globus pallidus,0.6378060971520197,0.0
internal segment of globus pallidus,0.505172400381046,0.0
mPMtha,0.5473819440116418,0.0
Stha,0.5853954760901721,0.0
PPtha,0.6397782304598219,0.0
Otha,0.6712705200751874,0.0
mPFtha,0.5449647630778037,0.0
lPFtha,0.5678581174805144,0.0
rTtha,0.4813197986408077,3.3724661156e-314
cTtha,0.611197934285539,0.0
