,genes
0,A1BG
1,A1BG-AS1
2,A1CF
3,A2M
4,A2ML1
5,A3GALT2
6,A4GALT
7,A4GNT
8,AAAS
9,AACS
10,AADAC
11,AADACL2
12,AADACL3
13,AADACL4
14,AADAT
15,AAED1
16,AAGAB
17,AAK1
18,AAMDC
19,AAMP
20,AANAT
21,AAR2
22,AARD
23,AARS
24,AARS2
25,AASDH
26,AASDHPPT
27,AASS
28,AATBC
29,AATF
30,AATK
31,ABAT
32,ABCA1
33,ABCA10
34,ABCA11P
35,ABCA12
36,ABCA13
37,ABCA2
38,ABCA3
39,ABCA4
40,ABCA5
41,ABCA6
42,ABCA7
43,ABCA8
44,ABCA9
45,ABCB1
46,ABCB10
47,ABCB11
48,ABCB4
49,ABCB5
50,ABCB6
51,ABCB7
52,ABCB8
53,ABCB9
54,ABCC1
55,ABCC10
56,ABCC11
57,ABCC12
58,ABCC13
59,ABCC2
60,ABCC3
61,ABCC4
62,ABCC5
63,ABCC6
64,ABCC8
65,ABCC9
66,ABCD1
67,ABCD2
68,ABCD3
69,ABCD4
70,ABCE1
71,ABCF1
72,ABCF2
73,ABCF3
74,ABCG1
75,ABCG2
76,ABCG4
77,ABCG5
78,ABCG8
79,ABHD1
80,ABHD10
81,ABHD11
82,ABHD12
83,ABHD12B
84,ABHD13
85,ABHD14A
86,ABHD14B
87,ABHD15
88,ABHD16A
89,ABHD16B
90,ABHD17A
91,ABHD17B
92,ABHD17C
93,ABHD18
94,ABHD2
95,ABHD3
96,ABHD4
97,ABHD5
98,ABHD6
99,ABHD8
100,ABI1
101,ABI2
102,ABI3
103,ABI3BP
104,ABL1
105,ABL2
106,ABLIM1
107,ABLIM2
108,ABLIM3
109,ABO
110,ABR
111,ABRA
112,ABRACL
113,ABRAXAS1
114,ABRAXAS2
115,ABT1
116,ABTB1
117,ABTB2
118,ACAA1
119,ACAA2
120,ACACA
121,ACACB
122,ACAD10
123,ACAD11
124,ACAD8
125,ACAD9
126,ACADL
127,ACADM
128,ACADS
129,ACADSB
130,ACADVL
131,ACAN
132,ACAP1
133,ACAP2
134,ACAP3
135,ACAT1
136,ACAT2
137,ACBD3
138,ACBD4
139,ACBD5
140,ACBD6
141,ACBD7
142,ACCS
143,ACCSL
144,ACD
145,ACE
146,ACE2
147,ACER1
148,ACER2
149,ACER3
150,ACHE
151,ACIN1
152,ACKR1
153,ACKR2
154,ACKR3
155,ACKR4
156,ACLY
157,ACMSD
158,ACO1
159,ACO2
160,ACOT11
161,ACOT12
162,ACOT13
163,ACOT2
164,ACOT4
165,ACOT6
166,ACOT7
167,ACOT8
168,ACOT9
169,ACOX1
170,ACOX2
171,ACOX3
172,ACOXL
173,ACP1
174,ACP2
175,ACP4
176,ACP5
177,ACP6
178,ACP7
179,ACPP
180,ACR
181,ACRBP
182,ACRV1
183,ACSBG1
184,ACSBG2
185,ACSF2
186,ACSF3
187,ACSL1
188,ACSL3
189,ACSL4
190,ACSL5
191,ACSL6
192,ACSM1
193,ACSM2A
194,ACSM2B
195,ACSM3
196,ACSM4
197,ACSM5
198,ACSM6
199,ACSS1
200,ACSS2
201,ACSS3
202,ACTA1
203,ACTA2
204,ACTA2-AS1
205,ACTB
206,ACTBL2
207,ACTC1
208,ACTG1
209,ACTG1P4
210,ACTG2
211,ACTL10
212,ACTL6A
213,ACTL6B
214,ACTL7A
215,ACTL7B
216,ACTL8
217,ACTL9
218,ACTN1
219,ACTN2
220,ACTN3
221,ACTN4
222,ACTR10
223,ACTR1A
224,ACTR1B
225,ACTR2
226,ACTR3
227,ACTR3B
228,ACTR3BP2
229,ACTR3C
230,ACTR5
231,ACTR6
232,ACTR8
233,ACTRT1
234,ACTRT2
235,ACTRT3
236,ACVR1
237,ACVR1B
238,ACVR1C
239,ACVR2A
240,ACVR2B
241,ACVRL1
242,ACY3
243,ACYP1
244,ACYP2
245,ADA
