,genes
0,HDAC3
1,WASF3
2,GAS8
3,GPR27
4,SCN2B
5,VIM
6,DAAM2
7,SBSN
8,PRKCG
9,SKIDA1
10,LRPPRC
11,CD38
12,OXSM
13,RBFOX2
14,KIF7
15,CBFB
16,FAM210B
17,SPEF2
18,BRPF3
19,NECAB2
20,ANXA2
21,ZNF365
22,TMEM229B
23,RALB
24,MSN
25,AMMECR1L
26,ATP2A2
27,COQ10B
28,AAMDC
29,LANCL2
30,CACNA2D3
31,DNAJB12
32,CASC1
33,ADAMTS10
34,CCDC92
35,ID2
36,GATA2
37,DUSP3
38,SIRT2
39,CDK7
40,CMTM7
41,PDE4C
42,WDR83
43,PLD3
44,ABTB2
45,FGF9
46,BRPF1
47,EIF4A2
48,PNMA1
49,MSRA
50,ESYT1
51,CBLB
52,EIF3K
53,SERINC3
54,PMFBP1
55,JMJD1C
56,SH3PXD2B
57,DDX20
58,LYST
59,PARM1
60,FOXG1
61,CHTF18
62,OPLAH
63,LRIF1
64,ROPN1L
65,JADE3
66,LIN7A
67,CRYM
68,STAT4
69,POLE
70,UNG
71,PCSK5
72,CHORDC1
73,COL1A2
74,TUBGCP6
75,CLPTM1L
76,MRPL38
77,PLCB1
78,KCNJ4
79,ARFIP2
80,TRIO
81,GPR4
82,ZNF408
83,FAM193A
84,LRRC20
85,NHLRC3
86,PDIA5
87,C2orf80
88,NUDCD2
89,NIN
90,SSTR1
91,CNTN6
92,KCNQ2
93,MYLIP
94,EMC9
95,MPRIP
96,IKBIP
97,MFSD3
98,BARX2
99,SEMA4A
100,ATG4B
101,COG7
102,BEGAIN
103,ERCC3
104,HEXA
105,CAMK2N2
106,GPX8
107,AASS
108,DHDH
109,RND1
110,BMPER
111,MS4A7
112,DIO3
113,CPNE5
114,ZNF839
115,SLC25A44
116,INSIG1
117,CKB
118,KCNH8
119,BRCA2
120,KDM2B
121,MYO1C
122,FEM1C
123,TDRD5
124,WDR24
125,HPN
126,LYPD6
127,NAE1
128,KCTD1
129,NQO2
130,KCNAB2
131,MRPL12
132,SLC6A7
133,GALNT13
134,ZFR2
135,TIAM2
136,YME1L1
137,CLVS2
138,ACOT8
139,PAMR1
140,PLEKHA1
141,UCP3
142,PRMT2
143,CEP152
144,VWC2L
145,DCTD
146,ANKMY2
147,CPNE8
148,PIP4K2B
149,DENND4A
150,PCDHB5
151,FAM155A
152,TFCP2
153,TMEM108
154,NOSIP
155,NOP2
156,ZDHHC4
157,DIDO1
158,ZNF410
159,TBC1D8
160,PRKG1
161,SIRT6
162,E2F4
163,NANOS3
164,SYPL1
165,PREX2
166,PTGDS
167,RBM24
168,FJX1
169,PANK2
170,IL34
171,AP3B2
172,SLU7
173,ADAM32
174,PHTF1
175,ATP9A
176,TMEM128
177,PPP2R2C
178,DMBX1
179,TRHDE
180,CACNA2D4
181,SUCLG2
182,SYN1
183,SPEN
184,CEP112
185,GNPDA1
186,CDH10
187,TAC1
188,ABCA4
189,METTL14
190,COL18A1
191,ACE
192,CTPS2
193,TRAPPC9
194,IDS
195,FNBP1
196,USP34
197,ABCA1
198,BOP1
199,DENND2C
200,ANGPTL2
201,MAPK1
202,SEMA5A
203,AP2A1
204,TSC22D3
205,JPH1
206,TAPBPL
207,SART1
208,CNTN3
209,RBM4
210,IQCE
211,SMYD2
212,LDLRAD3
213,PPL
214,BEND3
215,PRRT3
216,B3GNT4
217,TTC5
218,GRIK3
219,SLC9B2
220,GABRQ
221,PDCD4
222,FAM171A2
223,USP42
224,SGSM2
225,CA3
226,MEX3B
227,FZD1
228,VASH2
