,mAmyg,lAmyg,CA1,CA4DG,CA2CA3,subiculum,Claustrum,head of caudate,body of caudate,Putamen,posterovemtral putamen,nucleus accumbens,external segment of globus pallidus,internal segment of globus pallidus,mPMtha,Stha,PPtha,Otha,mPFtha,lPFtha,rTtha,cTtha
LA,0.4447633852848639,0.7748360639489665,0.847625968828069,0.7818687504967499,0.81006038399797,0.8282326923267825,0.5778576086938193,0.3277438175774019,0.2401261075259421,0.2886232728309125,0.6473722480607182,0.2900410106821604,-0.006737688542985358,0.006626981549192609,-0.04810340091704079,-0.07996518874151788,-0.062208670910833354,0.10596461810289683,0.07131605980336497,-0.08471807882630769,0.3711445856607178,0.13029911658927823
BLA,0.4171761687136931,0.7296033990480848,0.8820716641460218,0.8376894898826772,0.8297017900353347,0.8930239558607352,0.5109259601497689,0.282543485260723,0.207852055742644,0.20739597900871992,0.5867036460025311,0.249865297032364,-0.04141987761512971,0.00796969334697576,-0.048231066802676796,-0.06322404032764245,-0.04078285131556374,0.11798214793196893,0.07483271707822736,-0.0654182862406682,0.37498545590194116,0.13545787221772732
BMA,0.5420401187760733,0.813897116182851,0.7298390145678432,0.7415383418205559,0.7512516831393203,0.8026248326017117,0.45596235668153373,0.3881983621924322,0.18628717603360537,0.14948980566423953,0.6755310625855405,0.4833094252948342,0.0016235377223658234,0.12306257323445798,-0.04950114299653825,-0.14114742945632958,-0.11514542967521581,0.07809696380037202,0.1651670450225586,-0.011678293452751341,0.4627158020149504,0.09199233779808466
PA,0.5940866423275747,0.8098627321693608,0.7158697792152661,0.727713959875408,0.7597209840992502,0.766968339168636,0.4764013720865503,0.37419146414903404,0.14112637158802357,0.1937061065360072,0.7381818011111128,0.4909135420957878,0.09161404126883822,0.19433709345054162,0.011636880693514663,-0.11798396975698748,-0.11710122675021599,0.03848598535770487,0.14713259760114358,0.015797798289057665,0.4115247968505585,0.042241288793300205
COA,0.5839360846347147,0.8509243312129096,0.789157044605013,0.7578998956815258,0.7751325563795302,0.7933112232022409,0.4874879960158473,0.3677283214934868,0.21260632248182232,0.19983842825624257,0.6978352212004296,0.42665948298225737,0.013639983726830358,0.08987879079898405,-0.06018171754135444,-0.11788767004566689,-0.09019669253333396,0.07866488614133758,0.11377174847391476,-0.04717359489785701,0.3956810641153461,0.1036146893819502
PAA,0.43957608258180064,0.7598690137528441,0.882893105278894,0.7999400731674069,0.7831757408323502,0.8574988701629447,0.5146672633115846,0.2957950085507409,0.2477844231351254,0.23151255327827802,0.5626002838768807,0.2235252108458105,-0.06455916301149518,-0.03519698231914473,-0.0695896435279336,-0.05822568231240608,-0.025173983114778132,0.14163687993591195,0.04139112609561182,-0.08911196012653054,0.3312075432178935,0.16393353349721626
CA1,0.31359759458733094,0.5348885423744821,0.9446282766159659,0.8394104309715679,0.7695538529613055,0.8263129684342823,0.21775948517271662,0.17321273137305698,0.24736409563088382,0.08275580430970558,0.31518522229315754,0.01683302379228292,-0.1026867580844317,-0.1062907723417209,-0.09848661548226247,0.018210034875499995,0.05978617063669589,0.17759189858877955,-0.04055645931751676,-0.124467977180608,0.20974813060857436,0.20564916236094635
CA2,0.21761132491774599,0.4633243000910961,0.9559119311270918,0.8500116316485026,0.7857629504937816,0.7811279030653413,0.23719517972987925,0.10856670793806622,0.2586713109886511,0.09809879786355243,0.24701372685626344,-0.058131875439485725,-0.13643317134697125,-0.15451840602077532,-0.07954486813005478,0.06184023407112738,0.10713004748329559,0.228489729309455,-0.023259969523971594,-0.10218910711509045,0.23659882030785667,0.25781199150541534
CA3,0.23833142520119446,0.5104291361768964,0.9778842095841791,0.8870837555295522,0.8462389925890957,0.8504852694352576,0.3248005383386218,0.12662455536889583,0.20720858978181436,0.1251354003092959,0.33407194580057475,-0.0007386774375188719,-0.11104880662066996,-0.10690565944828315,-0.06193076230181892,0.022998605529958305,0.044398779754719724,0.18184958724193667,-0.005826896611851956,-0.09022519317598789,0.28955481013005263,0.20384837423586996
DG,0.42216720952748515,0.6303646713487348,0.9176551391232121,0.8102246772363653,0.7665667900580143,0.7972507481648076,0.3040970336941088,0.1908693116571039,0.238154059186759,0.1434068546146866,0.4315796417106893,0.11199058859290009,-0.03965968611707553,-0.05919607537535011,-0.08005927682654274,0.00380282295962733,0.039964011809882356,0.16702897794326954,0.028246074996028152,-0.09220743366880944,0.2780404085435219,0.20619137751664443
SUB,0.31767147721428607,0.5491881973168247,0.8891522781108592,0.8218367664677555,0.7692258629309029,0.9467802474231587,0.368647044465572,0.23690859858492153,0.18260028130594436,0.13128129657575266,0.39474030945075966,0.117646249152209,-0.04763350305272902,-0.02965265062452967,-0.044201162985599333,-0.00805245632513692,0.02144609591226292,0.17346408538673844,0.0511386440727196,-0.06667357669637217,0.3318851611242378,0.16549765269766067
ACB,0.4236901332024593,0.5895687777637005,0.3485825555997081,0.31238114051298016,0.4660480595769656,0.25578978043138434,0.5284216347784825,0.7811625776567969,0.6562874467726709,0.6931570697946339,0.628380309555605,0.6466705484655536,0.41417883910409165,0.28509147321187733,0.12410687851793588,-0.021132477679397084,0.02776286495338095,0.02511023748275172,0.12201904135325517,0.02297634564110209,0.1841048851907271,0.10148115624549717
