Unnamed: 0,brain_region,sn_region
105,mAmyg,Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La
106,lAmyg,Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La
107,CA1,Head of hippocampus (HiH) - Uncal CA1-CA3\Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3
108,CA4DG,Head of hippocampus (HiH) - Uncal CA1-CA3\Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3
109,CA2CA3,Head of hippocampus (HiH) - Uncal CA1-CA3\Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3
110,subiculum,Head of hippocampus (HiH) - Uncal CA1-CA3\Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3
111,Claustrum,Claustrum - Cla
112,head of caudate,Basal nuclei (BN) - Body of the Caudate - CaB
113,body of caudate,Basal nuclei (BN) - Body of the Caudate - CaB
114,Putamen,Basal nuclei (BN) - Putamen - Pu
115,posterovemtral putamen,Basal nuclei (BN) - Putamen - Pu
116,nucleus accumbens,Basal nuclei (BN) - Nucleus Accumbens - NAC
117,external segment of globus pallidus,Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe
118,internal segment of globus pallidus,Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe
119,mPMtha,Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN\Thalamus (THM) - Subthalamic nucleus and nearby - STH\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP\Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD\Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG)
120,Stha,Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN\Thalamus (THM) - Subthalamic nucleus and nearby - STH\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP\Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD\Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG)
121,PPtha,Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN\Thalamus (THM) - Subthalamic nucleus and nearby - STH\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP\Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD\Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG)
122,Otha,Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN\Thalamus (THM) - Subthalamic nucleus and nearby - STH\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP\Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD\Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG)
123,mPFtha,Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN\Thalamus (THM) - Subthalamic nucleus and nearby - STH\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP\Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD\Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG)
124,lPFtha,Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN\Thalamus (THM) - Subthalamic nucleus and nearby - STH\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP\Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD\Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG)
125,rTtha,Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN\Thalamus (THM) - Subthalamic nucleus and nearby - STH\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul\Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP\Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD\Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG)
