,Phenotype1,Phenotype2,Phenotype3
A8m,0.6913248946392629,0.12768969349746506,0.62011452541557
A8dl,0.7343455007010071,0.2274190869207048,0.6564068350813351
A9l,0.7156555294287521,0.045339421293837945,0.7992981770865429
A6dl,0.5864133315602925,0.3269041171867648,0.4448189097598231
A6m,0.7188663241993527,0.16582675520092624,0.493218292965693
A9m,0.8363160658970679,0.10055797595098731,0.8043873529353419
A10m,0.8497130249965978,0.05041518147734508,0.7930155170489332
A9/46d,0.6492090905398565,0.21102360990478297,0.8834202718599476
IFJ,0.6175715031313005,0.5372750991618191,0.6353134976322619
A46,0.6973067573882762,0.31515588256841814,0.9583851134965202
A9/46v,0.6621783726890587,0.4371572876248566,0.8665051022126293
A8vl,0.6553556750579524,0.3854219936403324,0.6333280466878799
A6vl,0.6825765126356221,0.5070819680758949,0.5642010687390976
A10l,0.7585385577599727,0.3579234931324138,0.9150861023572557
A44d,0.6855759398857131,0.5676350527583588,0.6533853100723294
IFS,0.5320978188984478,0.4212439796511481,0.7610546335549127
A45c,0.5537520719626212,0.46023519439645927,0.7361875169492624
A45r,0.5472267515417939,0.4296333312099181,0.9351623959170963
A44op,0.5980501338018784,0.254888283997505,0.845570880607702
A44v,0.6980709739790617,0.34261219082306577,0.7580944922861003
A14m,1.001901535439685,0.3312248298703088,0.7732247781338195
A12/47o,0.7481732025500316,0.4329948376432893,0.8951294485631137
A11l,0.894592586679203,0.4994621564060471,0.9123379952421984
A11m,0.9210493699627874,0.35296059829998827,0.8012084925736861
A13,0.8399324155983182,0.29647764249359093,0.8800717116288465
A12/47l,0.6240142108655391,0.43613710243966375,0.9752443176992133
A32p,0.9923797956862012,0.31683619109673683,0.7746322325587693
A32sg,1.0135071969843434,0.23098885389556467,0.7422003261975125
A24cd,1.000765546863464,0.1312314692239105,0.5711653770861603
A24rv,0.8106397781342589,0.026353604486085085,0.7129268450258761
A4hf,0.5416366041886979,0.5052479737224704,0.49857960330695994
A6cdl,0.5089417190628126,0.2700460926755273,0.48056453391210274
A4ul,0.5648705843606633,0.3633339813466606,0.5296083593039622
