,Phenotype1,Phenotype2,Phenotype3
ACAd,0.09122618287801743,-0.08277900516986847,0.030486050993204117
ACAv,0.09239526093006134,-0.08030717074871063,0.019592197611927986
PL,0.0627056360244751,-0.07039951533079147,0.06303595006465912
ILA,0.05906813591718674,-0.060564953833818436,0.04631364718079567
ORBl,0.020332852378487587,-0.028054917231202126,0.03720483556389809
ORBm,0.054437972605228424,-0.057392511516809464,0.0486735925078392
ORBvl,0.047056932002305984,-0.04904642701148987,0.04121730476617813
MOp,-0.06770747900009155,-0.03573908284306526,-0.008501040749251842
SSp-n,-0.05277903750538826,0.04588878154754639,0.024737093597650528
SSp-bfd,0.013557881116867065,0.12878581881523132,0.023189738392829895
SSp-ll,0.07061153650283813,0.009541203267872334,-0.03429620340466499
SSp-m,-0.12411718815565109,-0.018502596765756607,-0.020718997344374657
SSp-ul,-0.01591935008764267,0.03836147487163544,0.010580567643046379
SSp-tr,0.07524493336677551,0.02685333974659443,-0.060778770595788956
SSp-un,-0.0034391353838145733,0.07950717955827713,0.01714843139052391
SSs,-0.05947195738554001,0.03774212300777435,0.004804217256605625
PTLp,0.05358939990401268,0.07335899025201797,-0.04187128692865372
RSPagl,0.06699585914611816,-0.022159162908792496,-0.05491005256772041
RSPd,0.0749061107635498,-0.02951446920633316,-0.0629458874464035
RSPv,0.07548084110021591,-0.0399702712893486,-0.05220199003815651
VISpm,0.0689384862780571,-0.008901199325919151,-0.05901919677853584
VISp,0.028961556032299995,0.02168574370443821,-0.02369965985417366
VISal,0.028252996504306793,0.11578313261270523,-0.002899662358686328
VISl,0.03218472748994827,0.039977941662073135,-0.011620103381574154
VISpl,0.025669647380709648,-0.00857035256922245,-0.0018636302556842566
AId,-0.042537882924079895,-0.019953127950429916,0.01471373438835144
AIp,-0.023228367790579796,-0.014909411780536175,0.012662200257182121
AIv,0.000908915011677891,-0.021188754588365555,0.03314172104001045
GU,-0.08171039819717407,-0.019775358960032463,-0.01248382218182087
VISC,-0.053087521344423294,-0.006879154127091169,0.0015554949641227722
TEa,0.020672298967838287,0.034377988427877426,-0.00152388249989599
PERI,0.02915761061012745,-0.0033640775363892317,0.007479914464056492
ECT,0.019350634887814522,-0.0015193073777481914,0.01290806569159031
AUDd,0.020465468987822533,0.13775460422039032,0.01697283424437046
AUDp,0.02629947103559971,0.10322581976652145,-0.0017350055277347565
AUDpo,0.027812352403998375,0.09765895456075668,-0.006483996752649546
AUDv,0.021691227331757545,0.06651993840932846,-0.0008149310015141964
