,Anatomical Name,Atlas Index
0,ACAd,1
1,ACAv,2
2,AId,3
3,AIp,4
4,AIv,5
5,AUDd,6
6,AUDp,7
7,AUDpo,8
8,AUDv,9
9,ECT,10
10,GU,11
11,ILA,12
12,MOp,13
13,MOs,14
14,ORBl,15
15,ORBm,16
16,ORBvl,17
17,PERI,18
18,PL,19
19,PTLp,20
20,RSPagl,21
21,RSPd,22
22,RSPv,23
23,SSp-bfd,24
24,SSp-ll,25
25,SSp-m,26
26,SSp-n,27
27,SSp-tr,28
28,SSp-ul,29
29,SSp-un,30
30,SSs,31
31,TEa,32
32,VISC,33
33,VISal,34
34,VISam,35
35,VISl,36
36,VISp,37
37,VISpl,38
38,VISpm,39
39,LA,40
40,BLA,41
41,BMA,42
42,PA,43
43,CA1,44
44,CA2,45
45,CA3,46
46,DG,47
47,SUB,48
48,CP,49
49,ACB,50
50,FS,51
51,SF,52
52,SH,53
53,sAMY,54
54,PAL,55
55,VENT,56
56,SPF,57
57,SPA,58
58,PP,59
59,GENd,60
60,LAT,61
61,ATN,62
62,MED,63
63,MTN,64
64,ILM,65
65,GENv,66
66,EPI,67
67,RT,68
