Anatomical Name,Phenotype
CingulateAnt,-1.809828641
CingulateMid,0.55306792
FrontalSupMedial,-0.976262284
FrontalSup2,-0.366306107
FrontalMid2,0.053241467
OFCmed,-1.547137097
OFCant,-1.004901957
OFCpost,-0.869808011
OFClat,-0.312863918
FrontalMedOrb,-1.02873816
FrontalInfOrb2,0.3909527
FrontalInfOper,0.912048627
FrontalInfTri,0.771550378
RolandicOper,0.248720264
SuppMotorArea,1.166023106
Precentral,1.44912125
Postcentral,1.334455357
ParietalSup,0.60393213
ParietalInf,0.796169031
SupraMarginal,0.256394511
Angular,1.02754929
ParacentralLobule,2.184041973
Precuneus,0.269939883
CingulatePost,-0.313761854
Calcarine,0.439108402
Cuneus,0.50063762
Lingual,0.442313257
OccipitalSup,1.172855571
OccipitalMid,0.312870885
OccipitalInf,0.899102939
Insula,-0.727596083
Heschl,-0.499919424
TemporalSup,-0.106969838
TemporalMid,0.028086942
TemporalInf,-0.804483133
TemporalPoleSup,-1.987742993
TemporalPoleMid,-2.253890477
ParaHippocampal,0.090162889
Fusiform,-1.292136417
