Anatomical Name,Phenotype
A8m,0.627891498
A8dl,0.0763105
A9l,-0.919389018
A6dl,0.47397156
A6m,1.124085905
A9m,-0.767588969
A10m,-0.96365276
A9/46d,-0.813638525
IFJ,0.892439775
A46,-0.674090481
A9/46v,-0.124784408
A8vl,0.10907179
A6vl,0.515967296
A10l,-0.662494264
A44d,0.774287531
IFS,0.531695724
A45c,1.401287305
A45r,-0.0398397
A44op,0.627146155
A44v,0.440528154
A14m,-1.275794371
A12/47o,-0.651861239
A11l,-0.949489475
A11m,-1.77488331
A13,0.219105853
A12/47l,0.32485072
A32p,-1.467198921
A32sg,-1.520653536
A24cd,0.399218011
A24rv,-1.905450174
A4hf,1.242881081
A6cdl,1.55724213
A4ul,2.136089943
A4t,1.795018646
A4tl,-0.016519706
A6cvl,0.583653377
A1/2/3ll,1.864531366
A4ll,1.808575612
A1/2/3ulhf,1.387400589
A1/2/3tonIa,0.8295697
A2,1.383455982
A1/2/3tru,1.639437206
A7r,0.526365658
A7c,0.267961148
A5l,0.986306846
A7pc,1.275631417
A7ip,0.840018678
A39c,0.453082585
A39rd,0.631751881
A40rd,0.158062575
A40c,0.554210222
A39rv,0.547347998
A40rv,-0.05245227
A7m,-0.225031808
A5m,0.395525622
dmPOS,0.563018678
A31,0.674824708
A23d,0.754650284
A23c,0.563813635
A23v,-0.987056938
cLinG,0.588029378
rCunG,0.492065052
cCunG,0.233851864
rLinG,-0.4647038
vmPOS,-0.004444934
mOccG,0.53910424
V5/MT+,0.345326925
OPC,0.821403766
iOccG,1.260117801
msOccG,1.542790906
lsOccG,-0.008391825
G,-1.103189008
vIa,0.439850007
dIa,-0.831531403
vId/vIg,-1.009751598
dIg,-0.656325457
dId,-1.404032891
A38m,-2.222599696
A41/42,-0.356887144
TE1.0 and TE1.2,-0.444385174
A22c,0.542360571
A38l,-2.379593867
A22r,-0.51428153
A21c,-0.254950095
A21r,-1.246950275
A37dl,0.924069355
aSTS,-0.283075825
A20iv,-1.103320561
A37elv,-0.115842614
A20r,-1.301079739
A20il,-1.60241628
A37vl,-0.06383505
A20cl,-0.247068424
A20cv,-0.785244603
A20rv,-1.724508705
A37mv,-0.324019957
A37lv,-0.552520729
A35/36r,-1.503840113
A35/36c,-0.994178313
lateral PPHC,-0.464733094
A28/34,-0.857767129
TH,0.765642652
TI,-2.51066418
rpSTS,0.260648812
cpSTS,0.414457214
