Anatomical Name,Phenotype
caudalanteriorcingulate,-1.816615746
rostralanteriorcingulate,-1.771424692
caudalmiddlefrontal,0.862070455
rostralmiddlefrontal,0.019801538
superiorfrontal,0.286808761
lateralorbitofrontal,-1.023819315
medialorbitofrontal,-0.605702881
parsopercularis,0.699347209
parsorbitalis,-0.163726998
parstriangularis,0.342790884
precentral,1.422489117
postcentral,0.663668301
inferiorparietal,0.983026819
superiorparietal,1.588040294
supramarginal,0.514848748
paracentral,1.85374962
posteriorcingulate,0.30391922
isthmuscingulate,-0.326803158
pericalcarine,0.546733713
cuneus,0.643364322
lingual,1.043260575
lateraloccipital,0.731372652
insula,-0.687379309
transversetemporal,-0.684552532
superiortemporal,-0.261400229
middletemporal,-0.390000334
inferiortemporal,-2.17289442
temporalpole,0.402328549
parahippocampal,-1.531376371
entorhinal,-0.848868407
fusiform,-0.623056387
