,Dvl1,Magel2,Slc6a4,Sgsh,Shank3--
ACAd,-1.7678065842480835,-1.6904318766810345,2.0135459019651005,2.863863358075301,-2.4284799752188175
ACAv,-1.8905148793653355,-2.4769009120135665,0.5155034714615704,2.149724878830018,-1.8649234025562769
PL,-0.9349302335900561,-2.639617089738463,2.452291819823849,2.397574881199637,-2.103359974160398
ILA,-1.5561422055310952,-2.553695158447719,-0.22867695960954956,1.9646737881543608,-1.924697926025099
ORBl,-2.084572346029016,-2.4694512768358554,1.6338162778287537,2.1046169615965185,-0.976959058826423
ORBm,-1.2161886143091525,-2.3806914492458984,1.8618016991788955,2.598299795261993,-0.8429343176491053
ORBvl,-1.6565656874776937,-2.3767212625137075,2.295179552835941,2.311297190036878,-0.544072858760138
MOp,-2.538448202177393,-0.17880063795483928,1.075367466515947,1.1360816334247066,-2.396315732006561
SSp-n,-2.2520497515204427,0.006511784268953096,-0.23047534071053127,0.36091664505289817,-1.2499342884064932
SSp-bfd,-2.936842663907839,-0.33330457879494646,0.40985413947037413,0.010836366007055565,-1.4962161643925855
SSp-ll,-3.291584980100531,0.19176417976012047,0.7397382492816564,0.21332909891636145,-0.9946647769477688
SSp-m,-2.4263893192007133,-0.0012998796768144817,0.08177089764909601,0.9095071404087804,-2.1428259086150896
SSp-ul,-2.6657598314132938,0.2648833841714242,0.3754977543401116,0.13909110281583578,-1.3523933913133603
SSp-tr,-3.2853863429386623,-0.20153624329438674,1.1843874190331005,-0.06496962781588397,-1.0744438986261453
SSp-un,-2.663347634776449,0.12270890530195541,0.32006578477614506,-0.2473147766253147,-1.043661443707431
SSs,-3.4216742618249034,-1.8984671132256947,-0.3120667906891349,1.0746243890940406,-1.368898518155355
PTLp,-3.2615229125597653,-0.25897067432111637,1.9191707869802803,-0.12051042911409711,-1.4382381530555899
RSPagl,-2.9520274195173286,-1.8629823370690464,2.6037539668398413,0.5257031354620545,-2.058563672192774
RSPd,-2.123887921934738,-0.1569046844780894,2.622019529063786,-0.38273148963933395,-1.401630706643413
RSPv,-2.2876994383664364,-1.3458285050383245,1.8543235252259758,1.7053852646795968,-0.4503468507747781
VISp,-3.4840320535167333,-2.7561778882376737,2.6101159082435648,1.3711750354996473,-1.6342083057123005
VISal,-2.555062971471065,-1.2408295086455774,2.2035775836212417,0.449318529918535,-1.3113171345377956
VISl,-2.5317167623208556,-2.224084985168211,1.4156410025181814,1.9828726093801914,-1.036127877045986
VISpl,-3.1489051408309017,-1.4810563840229254,-1.087982275298506,3.4083242527653224,-1.6312921956039912
VISpm,-3.524151693929275,-0.936133730363199,3.5326807838751035,0.8158651233033385,-1.8523005268638004
AId,-2.533518073827764,-2.484935122819618,0.5090388566228664,1.016574742472091,-1.6075810678855535
AIp,-4.253410556005283,-2.1150295021127348,-0.5751159860180746,0.3052552635679106,-1.4378234904168135
AIv,-3.251667547558268,-2.678504331650247,-0.7493993677393646,1.1123605190010624,-1.5754411484834199
TEa,-2.461684547862978,-3.2407084989822,0.4837673635905244,2.4835780990302356,-1.0825062542162984
PERI,-3.065283851762091,-2.8143433344929574,1.0820094066259929,3.559607358595337,-1.3248370766362925
ECT,-3.1755007136566276,-4.127157760274143,1.4771555499479405,2.0327799039508743,-0.8653063089867837
AUDd,-3.232796255773782,-1.8821879596533044,0.3427169264104948,1.1217794871719555,-1.7649788536480078
AUDp,-2.748999622665477,-2.674811367007148,0.12929365396064701,1.696208017334949,-1.1840136349862906
AUDpo,-2.249089297653847,-2.015912044538956,1.0940678882861308,1.7807342937299773,-1.116487387491068
AUDv,-2.479111625499847,-3.5563602346406284,-0.20627214562312254,2.04797037721877,-1.162276280190604
GU,-4.095944201045595,-1.6285095991778349,-0.25914350402285935,-0.012013216116655012,-1.6883064585401246
VISC,-3.67243550555805,-3.0769636063250623,0.11358535823458026,0.41747733695953443,-1.1273897826756334
LA,-3.4928826671958557,0.10305877318755788,1.32841584572595,0.22577597575275815,-0.7544736641697104
BLA,-3.536903504987501,-0.179647789440765,-1.4715011569668364,0.9410296646567738,-0.7886759437389778
BMA,-3.600869095909564,0.6134055913804922,-2.9248041094736523,0.7652201610019751,-1.093627628000371
PA,-4.925218253198997,0.195116028365776,-3.3132251146749283,1.9868967664019914,-0.5033929079729553
CA1,-4.501192838598813,-1.3155009428748987,1.409475342873568,2.330596710883851,-2.586860477644681
CA2,-4.31465973471288,-1.2167517721133634,1.7208623412062367,2.629706134309613,-2.349407624620597
CA3,-4.315447432283898,-0.7879077463523688,2.068065820998374,2.427320265632568,-2.6282355854912445
DG,-3.635047155944711,-1.1856068967823767,3.017709748192606,2.2477608781696,-3.020481019459147
SUB,-4.493489375805572,-1.3345240637600717,0.8229432033993511,1.5255681880838885,-1.7142368461924409
ACB,-4.1289425884126345,-1.6175322757754087,-0.914701281038566,1.9157210072533908,-1.3711908888930326
CP,-5.122792252307841,-2.9338681228279686,0.48410643351127763,0.5156644940637307,-2.084790327149341
FS,-4.461246571561555,-0.3499743860984696,-2.791695496231239,0.7285469882299557,-1.6902460172245628
SF,-2.9848206918273092,-1.6873686902278653,1.4280062683103938,1.319196158963254,-2.5900766161309594
SH,-2.8903615081252143,-3.4428176902721193,2.0815501604006488,1.8288813472263945,-1.8843083901178244
sAMY,-3.9710752632481694,0.2266591266122867,-2.1143002749121367,0.33858825259334147,-1.3055925220262674
PAL,-4.176359185592113,-2.1236506825666974,0.6338106497013765,1.2231166611693616,-0.8715159674675932
VENT,-1.1815670121299986,-0.9678752058290284,3.8420022138355865,-0.0998937369794399,-1.4222680345873784
SPF,-0.16306261589098672,-1.6078897025296621,0.03443398408596154,-0.10022508818071908,-2.0033498169119834
SPA,-1.3889329147292535,-1.6107920355628376,-2.4580550024523338,0.6855379575004795,-0.9406115729927584
PP,-4.174839631599389,-0.0129814012920057,4.127978594022503,2.2973004236858428,-1.6535816270631816
GENd,-2.9691704705709965,-0.50004291622246,3.0029691724351775,0.23548405047960638,-2.8730180700316126
LAT,-2.0379628781434445,-1.2052835848447103,1.3634551244830433,0.5356974264415623,-2.231664735801453
ATN,-2.4415222500909484,-1.575877422297139,1.6566944976968825,1.3226914913233945,-1.620035354874184
MED,-0.9672823896519718,-2.6534896917390367,1.6747319827447182,1.4657050991301552,-1.5148868755568448
MTN,-2.074125070321128,-2.144637842444474,1.9571745144098287,2.1572426586278985,-1.4865280915917272
ILM,-1.1058046985378318,-2.38264510072166,2.03700664969469,1.1766658234226006,-2.0544602406776553
GENv,-3.3110562795747733,-0.3468420024085972,2.561084451559728,1.0016260403060993,-2.261490188346205
EPI,-2.015174543622491,-1.912796029001676,0.12491086500706962,2.3349834627576125,-1.5595191814421532
RT,-3.2125838259678092,-0.9901695482852703,2.2420709422202267,0.1777190404586786,-1.127784496636452
