,genes
0,CDK19
1,AMACR
2,LGI4
3,SEMA6A
4,SLC45A4
5,VSNL1
6,CREG2
7,DAAM2
8,TUBG1
9,SKAP1
10,NCALD
11,IGFBP3
12,FOSL2
13,PNPLA3
14,GLYCTK
15,TRPM2
16,UAP1L1
17,FAM160B2
18,PTGES
19,KCNS1
20,MSANTD3
21,PLEKHG5
22,DDX56
23,AMMECR1L
24,AMDHD2
25,CTDSP1
26,PDPR
27,C1QC
28,RAP1B
29,BTBD3
30,GCH1
31,RAB11FIP5
32,LYPD1
33,PLP2
34,GLCCI1
35,CYP26B1
36,PLA2G7
37,SLC40A1
38,ACTR1B
39,CDK11A
40,PDYN
41,VSIG8
42,NCAM1
43,C1RL
44,ZCCHC12
45,SLC39A8
46,CA10
47,PTGS1
48,GULP1
49,SRPX
50,LZTS2
51,SV2B
52,CLK2
53,RGS12
54,YBX2
55,VPS13D
56,MEGF6
57,FSBP
58,CCDC47
59,RHOBTB2
60,METTL22
61,SLC35D1
62,PROSER2
63,GPR108
64,NPY
65,SLC35F5
66,NNMT
67,RNF2
68,CD86
69,TMEM163
70,SERPINB9
71,SMCHD1
72,SPAG4
73,KANSL3
74,SLC22A18
75,ROM1
76,TDRD3
77,PTPN5
78,LAMC2
79,LAMA1
80,SERPINI1
81,SLC29A2
82,GPC3
83,IRF8
84,BEND3
85,SLTM
86,FAM181A
87,WASF3
88,SH3BP5
89,FAM83D
90,GLIPR2
91,OPN3
92,ETS2
93,IGSF21
94,ZYX
95,SH3TC1
96,STRADB
97,MGP
98,TULP3
99,TMEM156
100,PLCB1
101,C12orf60
102,OTOF
103,LLGL1
104,TRIM44
105,ANXA2
106,CLIP1
107,TMEM52
108,TTC29
109,OVOL2
110,GABRB2
111,ALMS1
112,HERC1
113,CCDC148
114,KCTD15
115,SNX14
116,PABPC1L
117,SLC7A4
118,STARD5
119,SLIT1
120,EDN1
121,PAX8
122,PLA2G3
123,MMS22L
124,GPLD1
125,SNAPC2
126,EFNA1
127,ASB2
128,GTF2IRD1
129,MTBP
130,CDC40
131,CHD7
132,SIRT6
133,FGF18
134,KIAA0556
135,FAM210B
136,ERBB4
137,HIP1R
138,FOXO1
139,PLAGL1
140,MPHOSPH9
141,MAN2C1
142,CNR1
143,ZFP36L1
144,ETV6
145,HEATR5B
146,IQCC
147,ARC
148,MRPS36
149,GNAS
150,NKAIN4
151,TMEM14C
152,USP3
153,PTK2
154,HEBP1
155,ORC4
156,PDE1A
157,FZD2
158,TRPC4
159,SBF2
160,LGI3
161,SMURF2
162,NSMCE2
163,FAM107A
164,PAX6
165,SDK2
166,MIS18BP1
167,FGFR1OP2
168,ADAMTSL2
169,GAA
170,MAPK4
171,KALRN
172,CS
173,SLC37A3
174,NECAB2
175,PIGN
176,DAB2
177,COL26A1
178,BIRC2
179,ILDR2
180,UFSP1
181,TRPC6
182,SPARCL1
183,HECW2
184,BHLHE22
185,EIF2A
186,TMEM229A
187,TRIM54
188,ZNF462
189,INHBA
190,PAQR6
191,PPARGC1B
192,HSPA4L
193,ZMYM1
194,ADRB1
195,NAP1L2
196,PLCB2
197,RANBP9
198,PSD3
199,IQCE
200,ACO1
201,CASP8AP2
202,CREB3L2
203,HDAC8
204,EHD4
205,AIFM1
206,UBE2W
207,PMEPA1
208,EFCAB1
209,KCNQ5
