,genes
0,CYCS
1,SEMA6A
2,VSNL1
3,CREG2
4,RAB3GAP1
5,SKAP1
6,NCALD
7,HPS3
8,IGFBP3
9,FOSL2
10,PNPLA3
11,SPCS3
12,TRPM2
13,FAM160B2
14,MAP2
15,TMEM232
16,PLEKHG5
17,TNKS2
18,C1QC
19,B3GALT1
20,BTBD3
21,FAM228A
22,RCAN1
23,LGALS1
24,RAB11FIP5
25,QRSL1
26,LRP12
27,GLCCI1
28,PAX3
29,CYP26B1
30,COMMD2
31,SYNE4
32,APLP2
33,SERPINH1
34,AQR
35,PCDHB4
36,NFE2L3
37,PDYN
38,VSIG8
39,NCAM1
40,C1RL
41,CA10
42,TEX2
43,SBSN
44,GULP1
45,SV2B
46,RGS12
47,YBX2
48,ABHD10
49,BMP1
50,NBAS
51,SLC35D1
52,PROSER2
53,PSMG1
54,NPY
55,ATP6V0D1
56,RRM1
57,SPR
58,MTMR12
59,CD86
60,TMEM163
61,RUNDC3A
62,SERPINB9
63,TALDO1
64,CCNDBP1
65,SPAG4
66,KANSL3
67,MTA3
68,MLEC
69,SLC22A18
70,PTPN5
71,SERPINI1
72,DYNC2LI1
73,HSPA4
74,AKIRIN1
75,BEND3
76,PSRC1
77,GLIPR2
78,IGSF21
79,ZYX
80,POU2F2
81,MDH2
82,VDAC3
83,GFOD1
84,HHATL
85,SIN3A
86,PLCB1
87,OTOF
88,ELAVL2
89,CHST12
90,CORO1C
91,KIF21A
92,ANXA2
93,GABRB2
94,DACT3
95,ALMS1
96,HERC1
97,PRKAR2B
98,SSBP3
99,CDHR1
100,FGD1
101,SNX14
102,PABPC1L
103,AIG1
104,ELFN2
105,STARD5
106,TMEM128
107,PLA2G3
108,ASAP1
109,EFNA1
110,ASB2
111,GTF2IRD1
112,MTBP
113,CDC40
114,CHD7
115,SAMD11
116,FGF18
117,FAM210B
118,ERBB4
119,ERC2
120,HIP1R
121,FOXO1
122,POC1A
123,MPHOSPH9
124,CNR1
125,ANKRA2
126,PRICKLE2
127,SYCP1
128,TMEM74B
129,CHD5
130,TXNIP
131,ETV6
132,GAS6
133,HSP90B1
134,CPT1C
135,NFRKB
136,CRK
137,TMEM14C
138,SUV39H1
139,PTK2
140,HEBP1
141,ORC4
142,BCLAF1
143,PDE1A
144,GLIS1
145,MLF1
146,ASPHD2
147,FZD2
148,TRPC4
149,EXOC1
150,SEC24D
151,SMURF2
152,CAMK4
153,FAM107A
154,NDUFS3
155,PTGR1
156,SDK2
157,PPIL6
158,MIS18BP1
159,PAG1
160,ADAMTSL2
161,FXN
162,UGDH
163,MAPK4
164,POMK
165,KALRN
166,DLGAP4
167,CS
168,HSD11B1
169,PFN1
170,SLC37A3
171,SLC6A11
172,NECAB2
173,CAMSAP1
174,COMMD9
175,DAB2
176,TMEM260
177,NGLY1
178,SGIP1
179,ILDR2
180,HECW2
181,BHLHE22
182,TMEM229A
183,C7orf25
184,MAPK8IP3
185,NR2E1
186,ZNF462
187,INHBA
188,PPARGC1B
189,NWD1
190,CHPF
191,HNRNPR
192,ZSCAN18
193,FBXL2
194,ADRB1
195,WDFY3
196,NAP1L2
197,ATXN7L1
198,PLCB2
199,NKRF
200,SRBD1
201,CIC
202,SLC12A2
203,SPIN1
204,DOK3
205,TNKS1BP1
206,HIGD1A
207,SMPD3
208,IQCE
209,CREB3L2
210,ZWINT
211,CCDC88B
212,SCOC
213,MOB3B
214,U2SURP
215,CCDC122
216,ALG2
217,CENPW
218,CX3CL1
219,PMEPA1
220,KCNQ5
221,PALM
222,ZAR1L
223,ALDH1A3
224,LDB2
225,POLR3D
226,EFR3B
227,RIPK2
228,ZMYM2
229,COL6A3
230,NRP1
231,NIN
232,PBX3
233,ELK3
234,NOG
235,PCBP2
236,CNTN4
237,RANBP10
238,DIRAS2
239,TCTN1
240,EIF4H
241,MYT1
242,SEL1L3
243,LYSMD4
244,CD83
245,IQCA1
246,SNX17
247,TES
248,PLXDC2
249,NAV1
250,OCLN
251,LIPG
252,TJP1
253,HOMER1
254,AK7
255,BBC3
256,SIRT2
257,GOT2
258,FAM135B
259,STAT3
260,HSF5
261,ITPKA
262,SCG2
263,KANSL2
264,COG3
265,TMEM86B
266,SREK1
267,ACTN1
268,PPP1R13B
269,KCNH1
270,DOK4
271,SLC10A3
272,SQSTM1
273,FAM78B
274,GTF3C1
275,SIPA1L2
276,HCN3
277,LRRN4
278,VAMP2
279,GOLM1
280,ADAM10
281,CYTH2
282,NPAS2
283,ZNF669
284,FOXB1
285,GRIA2
286,ADAM12
287,RNF181
288,AKAP1
289,NDST3
290,WNT2
291,IDH3A
292,LY6E
293,SIAH1
294,ARFGAP1
295,CAMK2A
296,ARMC3
297,PRPF19
298,BDNF
299,TTC39B
300,CAV2
301,RASGRF1
302,MAP2K4
303,ZFHX4
304,TMEM181
305,GMPPB
306,DMKN
307,CKAP4
308,SLC8A2
309,RSF1
310,PPP1R1B
311,PDP1
312,MAMDC4
313,ECE1
314,TMED7
315,PLEKHO1
316,GNPDA2
317,EFR3A
318,FIBP
319,ZFAND4
320,TTC22
321,RHCG
322,L3MBTL2
323,UBE2QL1
324,LZTR1
325,CNKSR2
326,TAMM41
327,CEBPA
328,GRIN2C
329,NDUFS1
330,USP5
331,GNPAT
332,TMEM241
333,FNIP1
334,ZDHHC22
335,RAI2
336,TMED5
337,SMYD2
338,ERMN
339,FGFRL1
340,RAI14
341,RPS20
342,DPYSL2
343,COL4A6
344,CEP89
345,AGER
346,PHACTR2
347,RUNX1T1
348,METTL9
349,PIGL
350,HSF2BP
351,MCCC2
352,GEMIN6
353,PVALB
354,MICAL1
355,SPATS2
356,TC2N
357,IMP4
358,TSLP
359,SFRP1
360,PXMP4
361,C5
362,WDR31
363,VSTM5
364,CCDC92
365,DHODH
366,FADS6
367,SPRTN
368,SHD
369,GTF2F2
370,TRIM65
371,RAP1GAP
372,CLK4
373,VIPR1
374,LDOC1
375,PPFIA3
376,CPNE6
377,RBP4
378,USP33
379,MARK1
380,SCN5A
381,RIMS1
382,ACBD3
383,NEUROD2
384,SCAF4
385,KBTBD11
386,S100PBP
387,TGFB2
388,CCDC40
389,EFNA3
390,RINT1
391,TMEM255B
392,VDAC2
393,KCNJ6
394,C4orf33
395,MKRN1
396,CDK13
397,SLC6A17
398,ORAI2
399,UBE2E2
400,NRG2
401,RPRML
402,OXGR1
403,AKAP12
404,SULT4A1
405,SSTR1
406,HK3
407,RBM24
408,BAHD1
409,SRPK1
410,GDPD2
411,ANKRD49
412,STAT6
413,OSBPL7
414,SLC30A1
415,CHST1
416,RBBP9
417,PRKACB
418,TMEM37
419,PDPK1
420,SUSD2
421,CEP63
422,TLN2
423,LRIG3
424,SYT11
425,NUDT14
426,PROX1
427,TMEM120B
428,DUSP8
429,TIGD5
430,SEMA4G
431,RALGAPA2
432,TTLL11
433,LAMA2
434,SIKE1
435,SLC16A6
436,CREG1
437,RAB4A
438,COL1A1
439,ERLEC1
440,DIMT1
441,RGPD1
442,EBP
443,AMOTL2
444,TTC3
445,TBCA
446,NKAIN1
447,ARMC2
448,SLC2A6
449,CRY2
450,NQO1
451,ATG3
452,CHRNA3
453,DDN
454,CELSR3
455,KIF2A
456,PPP1R16B
457,GPRASP1
458,CDH11
459,LUZP2
460,LYPLAL1
461,FAM98C
462,VILL
463,RBM26
464,THBS4
465,FSTL5
466,RGS8
467,PPP4R4
468,PPTC7
469,ASTN2
470,CLCN6
471,HELLS
472,PGRMC1
473,TMEM72
474,KMT2E
475,TAF5
476,STXBP5L
477,KCNK10
478,ADRA2B
479,SERPINF1
480,CD164
481,CDK5
482,ABHD17C
483,KIT
484,DGCR8
485,FAM133B
486,PLS1
487,CREB3L3
488,LIG3
489,PEAK1
490,GSTK1
491,TTC7B
492,BCL9
493,GPM6B
494,LRRK1
495,PTX3
496,CLGN
497,ERF
