,genes
0,ECSIT
1,SLC16A8
2,TBL1X
3,SMU1
4,PCDHB15
5,IFT172
6,IL17RA
7,GRPEL2
8,COX11
9,GPRASP1
10,MYCBPAP
11,NOXO1
12,CLMN
13,B3GALT2
14,TBC1D8B
15,MAPK1
16,MARCKSL1
17,KDELR2
18,ERI3
19,LSS
20,JPH1
21,SIRT3
22,ARHGAP25
23,MAP10
24,CRHBP
25,CMTM4
26,PLEKHM2
27,OPLAH
28,AMN1
29,CDH4
30,GPR137C
31,PANK3
32,SAMD15
33,FRMPD1
34,SLC25A24
35,UBE2Q2
36,COL6A1
37,LGALS1
38,SSBP2
39,INPP5J
40,TNFRSF12A
41,TRAF5
42,GJA1
43,SERINC4
44,TEX26
45,AUTS2
46,CHRM3
47,TAF8
48,TMEM108
49,ZFHX3
50,MCCC1
51,INHA
52,FAM3C
53,DPH5
54,GFRA2
55,SYNJ2
56,TMEM74
57,MAGEH1
58,SHANK1
59,NR2E1
60,HSPH1
61,SLC8B1
62,KLF3
63,RPIA
64,PLEKHA2
65,RBP1
66,GPT2
67,ALG2
68,SESTD1
69,FOXO1
70,CLVS1
71,NRSN2
72,ATF4
73,KSR2
74,SWAP70
75,PPM1M
76,ADRB1
77,BTG3
78,TLE3
79,LIN9
80,BBS2
81,CITED2
82,EPHA7
83,IL6R
84,CDK14
85,FBXO41
86,LRFN2
87,ERLEC1
88,SPAG17
89,SLCO4C1
90,GLS2
91,PSTPIP1
92,SLC24A4
93,STK32C
94,KCTD4
95,RAB3C
96,GNG13
97,ENGASE
98,SCO2
99,MALT1
100,LPCAT1
101,UBALD2
102,CCSAP
103,HENMT1
104,FBXO46
105,TC2N
106,RANGAP1
107,CDHR1
108,RTN1
109,ADCY8
110,FADS1
111,KCNH7
112,RELN
113,MYO6
114,PUM2
115,KLK6
116,ATG14
117,MBD5
118,TCF7L1
119,MICALL1
120,NBEAL2
121,LRRK1
122,P4HA3
123,KALRN
124,EHD3
125,LAMA2
126,SNPH
127,WDR31
128,PARP8
129,ZNF354B
130,CNTN3
131,ARMC8
132,GINS1
133,PLEKHA7
134,AGA
135,CBLN4
136,TPX2
137,GKAP1
138,G2E3
139,CNTNAP5
140,PPP2R2C
141,CA8
142,SNX24
143,CEP112
144,SETD6
145,USP48
146,PCDHB11
147,SEMA6B
148,NEURL1
149,PBK
150,GRP
151,PRDX1
152,FAR2
153,SSC5D
154,TXNL4A
155,RAPGEFL1
156,SLC25A29
157,TET2
158,EGR4
159,PDZRN4
160,MRAS
161,CTNNBIP1
162,ANGPTL6
163,INHBA
164,PNCK
165,DGKD
166,NPY
167,HOMER2
168,HERPUD1
169,PRKAB1
170,ATP6V0E1
171,NPTXR
172,NEK7
173,HS3ST1
174,IRAK1BP1
175,TTC4
176,IGDCC4
177,SH2D5
178,CUX2
179,NFATC2IP
180,FBXO27
181,FGF9
182,JOSD2
183,COPS5
184,UBE2H
185,HNRNPM
186,GADD45G
187,DNAH12
188,CMTR1
189,UACA
190,SOWAHB
191,AKAP8L
192,FSCN1
193,TDRD6
194,POMGNT2
195,WNT7A
196,PSRC1
197,RHBDD1
198,OPRM1
199,ZC3H18
200,SCN7A
201,NEIL3
202,CWF19L1
203,ARL4A
204,CDH13
205,SPATA1
206,PTGER3
207,USF2
208,LXN
209,SLC12A5
210,COA4
211,STK39
212,TRPM4
213,ASPM
214,INO80D
215,RAB11FIP3
216,HMGCR
217,RSAD1
218,WDR26
219,CFP
220,KMT2A
221,STIM2
222,GSTM2
223,VHL
224,MRPL46
225,OXNAD1
226,PIP4K2B
227,HEPH
228,COCH
229,GLT8D2
230,TFAP2B
231,NDST3
232,TDRD7
233,STRIP2
234,RPP40
235,RFX7
236,ZFAT
237,ENPP4
238,RAVER2
239,MPP7
240,NXPH4
241,DIMT1
242,PIKFYVE
243,CHST1
244,CABLES1
245,CBY1
246,ITGB2
247,CSRNP3
248,CDH18
249,NSMAF
250,ELF1
251,PSMC6
252,ZBTB46
253,MAPKAPK5
254,PID1
255,FAM210B
256,DUSP1
257,ARHGAP29
258,MATK
259,ELK1
260,CREB3L2
261,PITPNM1
262,B3GAT2
263,UHRF2
264,TNFRSF8
265,SLC1A6
266,ZDHHC3
267,PDGFA
268,SPCS1
269,ARAP3
270,FMR1
271,DESI2
272,ZNF777
273,CACNA2D3
274,SLC22A18
275,COG2
276,NRDE2
277,SPTBN2
278,CRTAC1
279,LYPD6B
280,ATG3
281,MYCN
282,CHD1
283,SPTB
284,AIG1
285,NKRF
286,CDK5R1
287,MBP
