,sn_roi
0,Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus - LP
1,Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25
2,Epithalamus - ETH
3,Basal forebrain (BF) - substantia innominata and nearby nuclei - SI
4,Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40
5,Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG
6,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3
7,Midbrain (M) - Superior colliculus and nearby nuclei - SC
8,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45
9,Midbrain (M) - Substantia Nigra - SN
10,Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C
11,"Cerebral cortex (Cx) - Cingulate gyrus, retrosplenial (CgGrs) - A29-A30"
12,Cerebellum (CB) - Cerebellar deep nuclei - CbDN
13,Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19
14,Pons (Pn) - efferent nuclei of cranial nerves in pons - PnEN
15,Cerebral cortex (Cx) - Superior Temporal Gyrus - STG
16,Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG)
17,"Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro"
18,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
19,Pons (Pn) - Pontine Nucleus - PN
20,Claustrum - Cla
21,Basal nuclei (BN) - Putamen - Pu
22,"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24"
23,Myelencephalon (medulla oblongata) (Mo) - sensory relay nuclei in medulla oblongata - MoSR
24,"Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC"
25,Basal nuclei (BN) - Body of the Caudate - CaB
26,Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC
27,Cerebellum (CB) - Cerebellar Vermis - CBV
28,Myelencephalon (medulla oblongata) (Mo) - precerebellar nuclei (PrCbN) - inferior olive - IO
29,"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2"
30,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD
31,Head of hippocampus (HiH) - Uncal CA1-CA3
32,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13
33,Midbrain (M) - Inferior colliculus and nearby nuclei - IC
34,Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL
35,Thalamus (THM) - Subthalamic nucleus and nearby - STH
36,Cerebral cortex (Cx) - Inferior temporal gyrus - ITG
37,Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL
38,Thalamus (THM) - Lateral nuclear complex of thalamus (LNC) - ventral group of lateral nucleus - VLN
39,Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C
40,Cerebral cortex (Cx) - Frontal agranular insular cortex - FI
41,Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C
42,Basal nuclei (BN) - Nucleus Accumbens - NAC
43,Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg
44,Cerebral cortex (Cx) - Parietal operculum (PaO) - Gustatory cortex - A43
45,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C
46,Cerebral cortex (Cx) - Temporal pole (TP) - Temporopolar area - A38
47,Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe
48,Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23
49,Amygdaloid complex (AMY) - Basolateral nuclear group (BLN) - lateral nucleus - La
50,Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul
51,Pons (Pn) - Pontine reticular formation - PnRF
52,Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig
53,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7
54,"Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF"
