Unnamed: 0,brain_region,sn_region
0,A8m,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
1,A8dl,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
2,A9l,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
3,A6dl,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
4,A6m,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
5,A9m,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
6,A10m,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
7,A9/46d,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
8,IFJ,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
9,A46,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
10,A9/46v,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
11,A8vl,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
12,A6vl,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
13,A10l,Cerebral cortex (Cx) - Middle frontal gyrus (MFG) - A46
14,A44d,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45
15,IFS,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45
16,A45c,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45
17,A45r,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45
18,A44op,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45
19,A44v,Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45
20,A14m,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13
21,A12/47o,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13
22,A11l,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13
23,A11m,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13
24,A13,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13\Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25
25,A12/47l,Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13
26,A32p,"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24"
27,A32sg,"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24\Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25"
28,A24cd,"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24"
29,A24rv,"Cerebral cortex (Cx) - Cingulate gyrus, rostral (CgGr) - Ventral division of MFC - A24"
30,A4hf,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C
31,A6cdl,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C
32,A4ul,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C
33,A4t,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C
34,A4tl,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C
35,A6cvl,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C
36,A1/2/3ll,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C
37,A4ll,Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C
38,A1/2/3ulhf,Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C
39,A1/2/3tonIa,Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C
40,A2,Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C
41,A1/2/3tru,Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C
42,A7r,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7
43,A7c,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7
44,A5l,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7
45,A7pc,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7
46,A7ip,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7
47,A39c,Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40
48,A39rd,Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40
49,A40rd,Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40
50,A40c,Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40
51,A39rv,Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40
52,A40rv,Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40
53,A7m,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7
54,A5m,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7
55,dmPOS,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7
56,A31,Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7
57,A23d,Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23
58,A23c,Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23
59,A23v,Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23
60,cLinG,Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C
61,rCunG,"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2\Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro"
62,cCunG,"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2\Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro"
63,rLinG,Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C
64,vmPOS,"Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C\Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2\Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro"
65,mOccG,Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19
66,V5/MT+,Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19
