,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,MOp,SSp-n,SSp-bfd,SSp-ll,SSp-m,SSp-ul,SSp-tr,SSp-un,SSs,PTLp,RSPagl,RSPd,RSPv,VISp,VISal,VISl,VISpl,VISpm,AId,AIp,AIv,TEa,PERI,ECT,AUDd,AUDp,AUDpo,AUDv,GU,VISC,LA,BLA,BMA,PA,CA1,CA2,CA3,DG,SUB,ACB,CP,FS,SF,SH,sAMY,PAL,VENT,SPF,SPA,PP,GENd,LAT,ATN,MED,MTN,ILM,GENv,EPI,RT
ACAd,0.0,0.9631238402563499,0.8561745141001046,0.7590985331212087,0.7219886582787357,0.7796606533776075,0.7848342183489753,0.6326035951338032,0.3931191169340102,0.5898721249009793,0.6318375292645211,0.28106401432708056,0.5387670241147193,0.6972002171249713,0.5529637711649275,0.48303320243173137,0.7192024852561524,0.7309351669786317,0.7750992790881643,0.7912207807596503,0.5560070638385971,0.6540248677113515,0.594187023312042,0.5060832848079414,0.7192702921740916,0.5564297656095275,0.4795516134558615,0.5796954176604913,0.5136528060005958,0.5316834528478508,0.5133703034602503,0.5343433567740408,0.42955436889744514,0.5410248445159396,0.4486464062351594,0.4939044118754217,0.47334475624666617,0.5380694981699923,0.4791349718971648,0.26577329959041895,0.07727533265365173,0.18459311966276126,0.079938266330399,0.07508053396004181,0.16859102130449605,0.36384252161626407,0.29892542586878523,0.5309725901888004,0.2219774556979963,0.43006300056594166,0.41609718393476264,0.22239434545094156,0.4630700788874265,0.6630591324251527,0.5295744712318219,0.5494524268938449,0.2763457962941213,0.3776468242584997,0.6348140459751395,0.7679264844754004,0.699399124188442,0.6832439500150204,0.6874474913310116,0.26685506006430715,0.5613879962454847,0.6905903401274623
ACAv,0.9631238402563499,0.0,0.8441504600002461,0.8499977691308629,0.6119738586910077,0.806181692162011,0.7660229493014555,0.5482827370629261,0.15098643014269342,0.4207691630720941,0.5107352205780931,0.16109312570933706,0.36411715174714643,0.6372770693210923,0.34582098905209685,0.3229982739736711,0.6771177651476026,0.7471164868892671,0.7911091567336922,0.8141851356519321,0.5333257902172401,0.5924549268498541,0.5546430157385492,0.4848491830811937,0.7306215750761418,0.3859363071444058,0.45080326766525847,0.4333662692679388,0.45783163622858136,0.4941688020252972,0.4542389675874196,0.398873488856456,0.34517809652112724,0.47893949106999983,0.35612134350208363,0.4406603129505729,0.39390081491899676,0.5019214399464896,0.47318035402777175,0.39437804860760967,0.3237095904848675,0.27182998881302783,0.16978910802514954,0.19001429320939314,0.279726677544274,0.4251568520161411,0.3181229071154344,0.513552359308569,0.1596374536429947,0.5542940525384834,0.5574493631864834,0.263718800264448,0.4730763274107887,0.6373904798268643,0.4976767792250663,0.5359906899306335,0.2875801718623719,0.34362089532928836,0.5775195753554795,0.7867643420943655,0.7250342097950181,0.7769890127013646,0.6853572645895929,0.28927901684067137,0.5811237491231671,0.68379469079932
PL,0.8561745141001046,0.8441504600002461,0.0,0.8930595554486169,0.7796992020471244,0.9004404522711098,0.8556494104476406,0.5740883021259691,0.3725190136135264,0.4597394835097752,0.5224057492912635,0.34460182743941875,0.47583799472297517,0.5532789727371955,0.48001160018936473,0.43610453587541825,0.5386185710942367,0.5485293536506936,0.49662536303977545,0.48211377041400494,0.3358631904105147,0.40882845359701026,0.38984100651612014,0.33078445181884475,0.5428131572971514,0.685635150920911,0.5548183130357561,0.7165796622770797,0.4869836922346634,0.475796166033911,0.5284592334774612,0.39855895651553974,0.3270590215389006,0.3988628560409084,0.4171677288774895,0.5574823476491401,0.5066212398742308,0.6325462711137703,0.6081170949662131,0.48300580345649735,0.3669715687783504,0.23856566805937857,0.17278777927798708,0.16394049655314158,0.20587549522746493,0.3103141820608416,0.4532038534017504,0.5250248869797159,0.3876654595317013,0.3352554150006223,0.4029092420686445,0.4204956870031519,0.5523657805806351,0.6204867892488376,0.5671767258864576,0.6978835358499015,0.25665062972485325,0.24986876150506274,0.49949815423676525,0.7221793133596869,0.7695183840370166,0.7913926955295011,0.6917535651225634,0.19961133919577398,0.6927584361633708,0.6389379965686057
ILA,0.7590985331212087,0.8499977691308629,0.8930595554486169,0.0,0.7350770511508602,0.9142299081935616,0.8759407129053789,0.39878269137465894,0.20791367646061054,0.3639145300579489,0.3583152988069975,0.14181506499925417,0.26161977287562876,0.5017029558521939,0.289451524748101,0.3689442846615397,0.5382040817822334,0.5599825213089427,0.5069336943912107,0.48894918420350336,0.40481721732252585,0.4499218133625525,0.47122262867663217,0.4204148957942761,0.5941546818208103,0.5441375588081588,0.5508129038958633,0.616214284018002,0.550678955691009,0.5419103491334603,0.5620933851248536,0.3895836889971451,0.40285108404424064,0.4554312100544184,0.4610564114918276,0.49416049723632727,0.4663681849239052,0.6205506119413408,0.6371371440492513,0.6123820952633041,0.5703243481290552,0.38331877766590006,0.3268288081715538,0.3097923259122303,0.3551310705836208,0.45187624939128374,0.5268691887850978,0.44058672052771286,0.4152920145354798,0.4584169516523062,0.4767360762007386,0.5015083142893307,0.5952438196061406,0.5873773691904085,0.5655073755716721,0.6992480861208337,0.2984459391102288,0.22298973078020545,0.396805053340309,0.7438311860928227,0.8013678259610447,0.8752066851925787,0.6861418789626466,0.26026112751759345,0.760526997769608,0.6413716280845503
ORBl,0.7219886582787357,0.6119738586910077,0.7796992020471244,0.7350770511508602,0.0,0.8138263496519114,0.9207728317684869,0.6438974916817352,0.5448915031472532,0.5358817782594018,0.4286816259657712,0.5289044923479701,0.4798548066846685,0.5180291111468883,0.49434854006426965,0.5373944414251141,0.5533193877674286,0.5137520961502589,0.4338112594291436,0.3315073968239356,0.4011704808206055,0.5212879915806601,0.4947669262152332,0.40737203042715825,0.5647776197475496,0.8292499574664728,0.5948282493484718,0.8252633305925359,0.5321278522058372,0.5319478323215483,0.5627436424294544,0.4829008654326009,0.4001045105885979,0.5101838869760051,0.45315337945699674,0.5979213817851268,0.5867257973748664,0.5643263048790268,0.5541004602532512,0.4062482062027982,0.12056019896106059,0.13657176860987016,0.06279430635592625,0.03714356365162744,0.030224210660113954,0.18813750939987928,0.36609792714708983,0.45956818543651384,0.4797386626039686,0.12673529892604327,0.2882728010104217,0.4248481722423977,0.5149247609950086,0.6183397519526903,0.6200113889117009,0.733153945462518,0.14733738563853901,0.09326766353363676,0.46369923148544767,0.6077638018616383,0.776842303854591,0.7060339746728044,0.7046913447999997,0.02572667953408704,0.6317178653464172,0.538763719448408
ORBm,0.7796606533776075,0.806181692162011,0.9004404522711098,0.9142299081935616,0.8138263496519114,0.0,0.9253440168707452,0.4632423588961702,0.2668246086026317,0.4119400354510611,0.39617260730224585,0.22566165628102133,0.3165889854877943,0.5308400731833435,0.35113562651956537,0.3918106116381451,0.5708855304664937,0.5920676787326511,0.5211354068639105,0.4555724050864908,0.4387269370193727,0.5000059464055694,0.5059169371219403,0.4432301420949319,0.6287834992827961,0.683159850751109,0.5732888253093027,0.7556781596545348,0.5562369090791989,0.550788062754447,0.5716800439666164,0.42398096355181275,0.40858062859199984,0.49196421439954785,0.46415438181279683,0.5354832718012669,0.49593683532296495,0.6499138559576418,0.6232582125305313,0.5190127580632439,0.4396128793344727,0.2813100922320688,0.18863836828867986,0.17191325091643153,0.22496079551316236,0.338478491391077,0.5406214865668056,0.4795897532696119,0.46749664038504385,0.37467011701553526,0.35959011176412736,0.4660301405047218,0.5835155910370814,0.5639293338720455,0.5224876428136922,0.6812401844712125,0.2344849888178149,0.15220952035976046,0.369863402293182,0.6946365022568348,0.7760611062105207,0.8085920788224457,0.6726271553410064,0.17417840705616083,0.7249544277624759,0.5857825346884482
ORBvl,0.7848342183489753,0.7660229493014555,0.8556494104476406,0.8759407129053789,0.9207728317684869,0.9253440168707452,0.0,0.5565678362284361,0.42710393530025226,0.5266472088927976,0.46236824049272357,0.37039675703528074,0.4331307080680653,0.600810009890596,0.46142961146007133,0.47603090689580635,0.6521689907966768,0.6536506827586719,0.5715369178381774,0.47054052530658375,0.5297035800447965,0.6109194789449707,0.5980989679013159,0.5238892335519895,0.7058149661772433,0.7514310599506518,0.5580374305238397,0.7773398999157168,0.5784671775456754,0.5755911494414552,0.5591721356431759,0.5297532344301289,0.4776086241301887,0.5954902092590759,0.48675786347339417,0.5438961193909961,0.5191837667719917,0.5839179426174219,0.5541983082494063,0.4180194425390711,0.2985059159775979,0.21781689525844003,0.14496979157720494,0.12452567152865254,0.15197218284340183,0.28322592484193326,0.4335154977410125,0.4676487028047107,0.4546004472099153,0.2975978290170306,0.32808509468202623,0.41763839848491224,0.5399323310181107,0.5908709653114419,0.5311338086314735,0.680601402193145,0.18556385646382323,0.12104208899012424,0.42600451484251545,0.6662432601176286,0.7654334911017359,0.7555138953845183,0.6808292824910989,0.11122544468385513,0.6489847180907917,0.5778932426816931
MOp,0.6326035951338032,0.5482827370629261,0.5740883021259691,0.39878269137465894,0.6438974916817352,0.4632423588961702,0.5565678362284361,0.0,0.7225805101696446,0.6000199040388869,0.7540147497290832,0.8161081415727142,0.7914168385357075,0.6617022102184431,0.7380513395751306,0.705408619977275,0.5416085869792625,0.486064108503032,0.4624879915994836,0.4625736950615421,0.26060843691633323,0.44361404961971623,0.3151289265189998,0.20406051306122933,0.3999485660299731,0.7280339040201924,0.6409567273308128,0.6399312573546535,0.4616619081799105,0.43783513180216277,0.5140800599385984,0.5230497177445135,0.36756099542533266,0.4160314083212983,0.5160030132751653,0.7145253568441584,0.6799304951688762,0.44596307399901464,0.4213498526788789,0.22915612967665558,0.0,0.062343489030001566,0.0,0.0,0.0,0.1445857762718058,0.34707913599292095,0.555458386994546,0.5300103548435839,0.08468557151585204,0.11465149469814358,0.3481142974109601,0.40518710714473033,0.6754424518452289,0.6304623641121592,0.5928770819136164,0.1787195500973676,0.3388638911269289,0.6521620076996338,0.5432043523745508,0.5798571846317719,0.4351491190913935,0.6214197757593719,0.27972775005405204,0.3328035692764718,0.6327615570313747
SSp-n,0.3931191169340102,0.15098643014269342,0.3725190136135264,0.20791367646061054,0.5448915031472532,0.2668246086026317,0.42710393530025226,0.7225805101696446,0.0,0.771368783536086,0.5218929352193485,0.8408189606343981,0.7623787181353545,0.46719018978213683,0.8446288612879754,0.8079369329223351,0.4372315885142788,0.15069823399998108,0.10765878923191698,0.0791721429581866,0.124693151734802,0.40204203799230087,0.17287800980708293,0.015462834050780585,0.17163989204404997,0.49309646946552405,0.6490496098382555,0.3769508210416785,0.5552004247434912,0.519710913814251,0.6141091253882717,0.6245224347661752,0.420810513497535,0.40874893564631726,0.6250405073299161,0.5537412818487734,0.7241654521814245,0.4702269962901379,0.28709374660353887,0.0900413083599249,0.0,0.055037754925031455,0.05518216741399639,0.004404875215278628,0.0,0.09220015161283997,0.1980425307785904,0.558917182353773,0.34071399942167746,0.013676710410196876,0.0,0.24892323869587202,0.2896583182405829,0.7333243171241309,0.6094554734026767,0.3887568623818243,0.3333751421089929,0.5796812440217979,0.6616076727336492,0.4595218778542802,0.3786297133758106,0.27941020724176635,0.5145903051781902,0.6279477820867339,0.05950071410801146,0.7262955938253832
SSp-bfd,0.5898721249009793,0.4207691630720941,0.4597394835097752,0.3639145300579489,0.5358817782594018,0.4119400354510611,0.5266472088927976,0.6000199040388869,0.771368783536086,0.0,0.6975815190074798,0.5431120098826696,0.7306740331559529,0.7716135871681459,0.8162217577777133,0.7907146034958482,0.7786496100279136,0.5420100140683445,0.5253640628825309,0.4956376423272061,0.5634663533276847,0.7621179575378894,0.6508788185236799,0.5097382821017115,0.6027049497424386,0.3293006872199182,0.5012216677670743,0.27515831579073996,0.6488341073688304,0.6010782331623069,0.6189055548903546,0.8090054588330915,0.6819537276085654,0.7212089952371521,0.6777434931332316,0.34498521679700184,0.6125160586580419,0.4515323316465194,0.29371201341917813,0.14985704659600171,0.08111063849009084,0.15204709422739132,0.1005616816179084,0.0306144609260181,0.01518399089389385,0.2555086701496161,0.18243929195011835,0.40481027160121025,0.20449359770201847,0.05694553525228031,0.002230189459062316,0.22638536313296082,0.23482127077365622,0.6640653220888973,0.45420712139077607,0.2619384802394155,0.40608198546316804,0.6242381583487753,0.6493973691646466,0.5563995061023768,0.3639307888562659,0.2731541258763225,0.4880170624842519,0.6851487000302928,0.19811877501123895,0.6813479064900931
SSp-ll,0.6318375292645211,0.5107352205780931,0.5224057492912635,0.3583152988069975,0.4286816259657712,0.39617260730224585,0.46236824049272357,0.7540147497290832,0.5218929352193485,0.6975815190074798,0.0,0.3623149379194245,0.8388068627604607,0.8842736870852487,0.7908749493552151,0.6186097433779842,0.7338938477827629,0.6682909675546793,0.5506910693560818,0.503676033551017,0.3639191864663836,0.5350946834658316,0.4162117000960463,0.2700592234051469,0.49323093955163366,0.23611562960445548,0.35640588460565537,0.2199680998592078,0.507365051057415,0.41291363520827434,0.44954801710689185,0.6613114286174806,0.5360861452593413,0.5236815283425857,0.5860360950583728,0.3178493863622646,0.486169445607434,0.2967582614684334,0.18648689133194654,0.08077829613260287,0.0037525341328776335,0.1294499241369242,0.0,0.003510158870448634,0.047782823405784165,0.1882944793498981,0.18021171480580517,0.4129322392252642,0.1224684886992648,0.026962582026859416,0.01926749823432302,0.18746863872915548,0.3411342054423897,0.6519539030061667,0.4655868605858666,0.20780841766653102,0.25989435652354903,0.4609364541255275,0.6472292812427165,0.5972751694694486,0.40696508300702605,0.3207953335461372,0.52722256158594,0.411146458331206,0.3731650880020773,0.6924888988801214
SSp-m,0.28106401432708056,0.16109312570933706,0.34460182743941875,0.14181506499925417,0.5289044923479701,0.22566165628102133,0.37039675703528074,0.8161081415727142,0.8408189606343981,0.5431120098826696,0.3623149379194245,0.0,0.7172035295957228,0.21209303282767542,0.7414263158655976,0.7716394803717304,0.1983124452019334,0.09333695460956512,0.0229316187956299,0.0,0.0765351344661682,0.42748986568052966,0.2115814552313354,0.1487659215808248,0.11895406999670086,0.690356290395931,0.6914268473946705,0.5516063673436348,0.42770739249471446,0.4571991044105939,0.5332287658649605,0.4038959730890577,0.2891370451310296,0.43346570743483176,0.4454554832746032,0.7914734374009519,0.7455993415647286,0.4437747849808722,0.33840644518936885,0.139251598222346,0.0,0.033174321288431716,0.00239593969343511,0.0,0.015189242254317014,0.07421120642858021,0.23292749271404628,0.5367056807186374,0.47056046874690227,0.09235504437463408,0.0,0.29978312980019123,0.3769006337271693,0.7042155705898019,0.6867734324378123,0.5258853701604379,0.262173901731401,0.4446937211437472,0.6535602158734788,0.3255030634177442,0.46436258059167135,0.3271459070649719,0.5782310405315856,0.43588639803952367,0.08917748712069724,0.6442237760276708
