,Anatomical Name,Atlas Index
0,caudalanteriorcingulate,1
1,rostralanteriorcingulate,2
2,caudalmiddlefrontal,3
3,rostralmiddlefrontal,4
4,superiorfrontal,5
5,lateralorbitofrontal,6
6,medialorbitofrontal,7
7,parsopercularis,8
8,parsorbitalis,9
9,parstriangularis,10
10,precentral,11
11,inferiorparietal,12
12,superiorparietal,13
13,postcentral,14
14,supramarginal,15
15,paracentral,16
16,posteriorcingulate,17
17,isthmuscingulate,18
18,cuneus,19
19,lingual,20
20,lateraloccipital,21
21,pericalcarine,22
22,insula,23
23,inferiortemporal,24
24,middletemporal,25
25,superiortemporal,26
26,temporalpole,27
27,transversetemporal,28
28,entorhinal,29
29,fusiform,30
30,parahippocampal,31
31,Thalamus-Proper,32
32,Caudate,33
33,Putamen,34
34,Pallidum,35
35,Hippocampus,36
36,Amygdala,37
37,Accumbens-area,38
