Anatomical Name,Phenotype
CingulateAnt,-1.719471812
CingulateMid,0.348121985
FrontalSupMedial,-0.990080328
FrontalSup2,-0.456353364
FrontalMid2,-0.089238706
OFCmed,-1.489610118
OFCant,-1.015140761
OFCpost,-0.896930168
OFClat,-0.409590107
FrontalMedOrb,-1.035998037
FrontalInfOrb2,0.206267099
FrontalInfOper,0.662239114
FrontalInfTri,0.53929962
RolandicOper,0.081810148
SuppMotorArea,0.884473158
Precentral,1.13219114
Postcentral,1.031855605
ParietalSup,0.392629446
ParietalInf,0.560841559
SupraMarginal,0.088525306
Angular,0.763305093
ParacentralLobule,1.775265219
Precuneus,0.100377847
CingulatePost,-0.410375823
Calcarine,0.248404547
Cuneus,0.302244157
Lingual,0.251208876
OccipitalSup,0.890451736
OccipitalMid,0.137943551
OccipitalInf,0.650911313
Insula,-0.772491161
Heschl,-0.57326837
TemporalSup,-0.229427619
TemporalMid,-0.111249546
TemporalInf,-0.83976926
TemporalPoleSup,-1.875151336
TemporalPoleMid,-2.108037065
ParaHippocampal,-0.056931536
Fusiform,-1.266478122
Amygdala,2.101318252
Hippocampus,0.79533095
Caudate,0.245410093
Putamen,-1.412709056
Pallidum,1.094563484
Thalamus,2.473312995
