Anatomical Name,Phenotype
caudalanteriorcingulate,-1.571630041
rostralanteriorcingulate,-1.537647328
caudalmiddlefrontal,0.442685133
rostralmiddlefrontal,-0.190683217
superiorfrontal,0.010100547
lateralorbitofrontal,-0.97546395
medialorbitofrontal,-0.661049266
parsopercularis,0.320320706
parsorbitalis,-0.328692781
parstriangularis,0.052197916
precentral,0.864108073
postcentral,0.293490924
inferiorparietal,0.533641752
superiorparietal,0.988599045
supramarginal,0.181581778
paracentral,1.188406819
posteriorcingulate,0.02296725
isthmuscingulate,-0.451322593
pericalcarine,0.205558596
cuneus,0.278222763
lingual,0.578936258
lateraloccipital,0.344403159
insula,-0.722468206
transversetemporal,-0.720342529
superiortemporal,-0.402140979
middletemporal,-0.498845528
inferiortemporal,-1.839544043
temporalpole,0.096968977
parahippocampal,-1.357136085
entorhinal,-0.843904581
fusiform,-0.674098734
Amygdala,2.301054075
Hippocampus,-0.391206449
Accumbens-area,-0.763857836
Putamen,0.318490569
Caudate,0.489172085
Pallidum,0.979960513
Thalamus-Proper,3.439167209
