,DRN_opto
ACAd,1.3852828
ACAv,0.8918889
PL,1.0158579
ILA,0.7670395
ORBl,0.3255097
ORBm,0.7783835
ORBvl,0.46462074
MOp,0.5843165
SSp-n,0.4746469
SSp-bfd,0.2191347
SSp-ll,0.23319234
SSp-m,0.94078934
SSp-ul,0.22886151
SSp-tr,0.30485743
SSp-un,0.16763982
SSs,0.6796427
PTLp,0.2757767
RSPagl,0.71861166
RSPd,1.0374874
RSPv,0.91586715
VISpm,0.41864663
VISp,0.42920208
VISal,0.37340608
VISl,0.5665921
VISpl,0.87334144
AId,0.6409712
AIp,0.7024558
AIv,0.65951073
GU,0.90371597
VISC,0.80181134
TEa,0.42462113
PERI,0.4471996
ECT,0.4269908
AUDd,0.24518235
AUDp,0.3767233
AUDpo,0.34377885
AUDv,0.43711355
LA,0.7310892
BLA,0.75310266
BMA,0.8794164
PA,0.5175732
CA1,0.51509565
CA2,0.47723547
CA3,0.45585573
DG,0.41244683
SUB,0.60263425
ACB,0.5340867
CP,0.8967112
FS,1.0346264
SF,0.2669401
SH,0.51236176
sAMY,0.66486657
PAL,0.46618897
VENT,0.2783249
SPF,0.5804308
SPA,0.58729464
PP,0.56815
GENd,0.44669646
LAT,0.26021856
ATN,0.4248572
MED,0.31292704
MTN,0.30083877
ILM,0.36815873
GENv,0.52434915
EPI,0.23263311
RT,0.52278227
