"","10090","9606","10090_ID","9606_ID"
"1","Gnai3","GNAI3",14679,2773
"2","Cdc45","CDC45",12544,8318
"3","Apoh","APOH",11818,350
"4","Narf","NARF",67608,26502
"5","Cav2","CAV2",12390,858
"6","Klf6","KLF6",23849,1316
"7","Scmh1","SCMH1",29871,22955
"8","Cox5a","COX5A",12858,9377
"9","Tbx2","TBX2",21385,6909
"10","Ngfr","NGFR",18053,4804
"11","Wnt3","WNT3",22415,7473
"12","Wnt9a","WNT9A",216795,7483
"13","Xpo6","XPO6",74204,23214
"14","Tfe3","TFE3",209446,7030
"15","Axin2","AXIN2",12006,8313
"16","Brat1","BRAT1",231841,221927
"17","Gna12","GNA12",14673,2768
"18","Igsf5","IGSF5",72058,150084
"19","Pih1d2","PIH1D2",72614,120379
"20","Dlat","DLAT",235339,1737
"21","Sdhd","SDHD",66925,6392
"22","Ccnd2","CCND2",12444,894
"23","Gpr107","GPR107",277463,57720
"24","Nalcn","NALCN",338370,259232
"25","Btbd17","BTBD17",72014,388419
"26","Th","TH",21823,7054
"27","Drp2","DRP2",13497,1821
"28","Lhx2","LHX2",16870,9355
"29","Gmpr","GMPR",66355,2766
"30","Glra1","GLRA1",14654,2741
"31","Mid2","MID2",23947,11043
"32","Trim25","TRIM25",217069,7706
"33","Dgke","DGKE",56077,8526
"34","Scpep1","SCPEP1",74617,59342
"35","Mnt","MNT",17428,4335
"36","Itgb2","ITGB2",16414,3689
"37","Hddc2","HDDC2",69692,51020
"38","Tpd52l1","TPD52L1",21987,7164
"39","Pemt","PEMT",18618,10400
"40","Cdh1","CDH1",12550,999
"41","Cdh4","CDH4",12561,1002
"42","Ckmt1","CKMT1B",12716,1159
"43","Ckmt1","CKMT1A",12716,548596
"44","Bcl6b","BCL6B",12029,255877
"45","Clec10a","CLEC10A",17312,10462
"46","Alox12","ALOX12",11684,239
"47","Arvcf","ARVCF",11877,421
"48","Comt","COMT",12846,1312
"49","Rtca","RTCA",66368,8634
"50","Dbt","DBT",13171,1629
"51","Dazap2","DAZAP2",23994,9802
"52","Mcts1","MCTS1",68995,28985
"53","Rnf17","RNF17",30054,56163
"54","Trappc10","TRAPPC10",216131,7109
"55","Ccm2","CCM2",216527,83605
"56","Tbrg4","TBRG4",21379,9238
"57","Fap","FAP",14089,2191
"58","Ndufa9","NDUFA9",66108,4704
"59","Egfl6","EGFL6",54156,25975
"60","Lck","LCK",16818,3932
"61","Cttnbp2","CTTNBP2",30785,83992
"62","Galnt1","GALNT1",14423,2589
"63","Mkrn2","MKRN2",67027,23609
"64","Pparg","PPARG",19016,5468
"65","Raf1","RAF1",110157,5894
"66","Sept1","SEPT1",54204,1731
"67","Pdgfb","PDGFB",18591,5155
"68","Acvrl1","ACVRL1",11482,94
"69","Grasp","GRASP",56149,160622
"70","Acvr1b","ACVR1B",11479,91
"71","Tom1l2","TOM1L2",216810,146691
"72","Zfp385a","ZNF385A",29813,25946
"73","Gabra2","GABRA2",14395,2555
"74","Wdr77","WDR77",70465,79084
"75","Adora3","ADORA3",11542,140
"76","Atp5f1","ATP5F1",11950,515
"77","Sox9","SOX9",20682,6662
"78","Hnrnpd","HNRNPD",11991,3184
"79","Dynlt1c","DYNLT1",100040563,6993
"80","C1d","C1D",57316,10438
"81","Gm2a","GM2A",14667,2760
"82","Krit1","KRIT1",79264,889
"83","Sema4f","SEMA4F",20355,10505
"84","Hk2","HK2",15277,3099
"85","Myo18a","MYO18A",360013,399687
"86","Sez6","SEZ6",20370,124925
"87","Abhd15","ABHD15",67477,116236
"88","Loxl3","LOXL3",16950,84695
"89","Kat2b","KAT2B",18519,8850
"90","Rab5b","RAB5B",19344,5869
"91","Icosl","ICOSLG",50723,23308
"92","Icosl","LOC102723996",50723,102723996
"93","Spg7","SPG7",234847,6687
"94","Rpl13","RPL13",270106,6137
"95","Chmp1a","CHMP1A",234852,5119
